method1,method2,method_score1,method_score2,space_size1,space_size2,space_score1,space_score2
org.apache.pdfbox.pdmodel.font.PDFont.PDFont(COSDictionary),org.apache.pdfbox.pdmodel.font.PDFont.PDFont(COSDictionary),2.160936461180485e-06,2.4991460395371327e-05,2,163,2.0376485846138865e-06,0.00012793259079402333
org.apache.pdfbox.pdmodel.font.PDFont.PDFont(COSDictionary),org.apache.pdfbox.pdmodel.font.PDFont.PDFont(String),2.160936461180485e-06,1.9852318103847827e-05,2,109,2.0376485846138865e-06,7.229783821716322e-05
org.apache.pdfbox.pdmodel.font.PDFont.PDFont(),org.apache.pdfbox.pdmodel.font.PDFont.PDFont(),7.953781257319611e-07,5.298399860767083e-11,143,106,0.0003157862726259043,7.394360362100868e-05
org.apache.pdfbox.pdmodel.font.PDSimpleFont.PDSimpleFont(),org.apache.pdfbox.pdmodel.font.PDSimpleFont.PDSimpleFont(String),1.1595125639439504e-07,1.7445365445075697e-05,,3,,3.0559106992317875e-05
org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(String),org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(String),2.840280437786137e-06,5.4379637428030114e-05,1,112,2.840280437786137e-06,6.670101827617086e-05
org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(COSDictionary),org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(COSDictionary),2.1248406372126993e-05,2.9337597029391993e-05,18,47,9.153568826464989e-06,3.363027539123832e-05
org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(COSDictionary),"org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(PDDocument, InputStream)",2.1248406372126993e-05,2.1883314531013374e-08,18,,9.153568826464989e-06,
org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(COSDictionary),"org.apache.pdfbox.pdmodel.font.PDType1Font.PDType1Font(PDDocument, InputStream, Encoding)",2.1248406372126993e-05,1.708071437886456e-11,18,,9.153568826464989e-06,
"org.apache.pdfbox.filter.ASCIIHexFilter.encode(InputStream, OutputStream, COSDictionary, int)","org.apache.pdfbox.filter.ASCIIHexFilter.encode(InputStream, OutputStream, COSDictionary)",4.6174924586529293e-17,6.221754648788633e-07,1,4,4.6174924586529293e-17,3.174218851286207e-06
org.apache.pdfbox.pdfwriter.COSWriter.doWriteSignature(COSDocument),org.apache.pdfbox.pdfwriter.COSWriter.doWriteSignature(),2.1513700539966613e-15,1.311302335852134e-05,,12,,2.0634976048395308e-05
"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean)","org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(long, int, boolean)",6.438737817679973e-07,0.0002627376599084477,13,70,0.0001436111196875682,0.0001673709301322983
"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean)","org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(long, int, boolean)",6.438737817679973e-07,0.0002627376599084477,13,70,0.0001436111196875682,0.0001673709301322983
org.apache.pdfbox.pdmodel.font.PDCIDFont.getAverageFontWidth(),org.apache.pdfbox.pdmodel.font.PDCIDFont.getAverageFontWidth(),3.5398683907003203e-10,1.0284795514555969e-07,56,,1.882102897732591e-05,
"org.apache.pdfbox.pdfwriter.COSWriter.COSWriter(OutputStream, FileInputStream)",org.apache.pdfbox.pdfwriter.COSWriter.COSWriter(OutputStream),4.963827984746674e-08,1.3952641144492217e-07,,,,
org.apache.pdfbox.pdfwriter.COSWriter.close(),org.apache.pdfbox.pdfwriter.COSWriter.close(),1.8525684877929536e-07,3.146208427265203e-07,,,,
org.apache.pdfbox.pdfwriter.COSWriter.doWriteSignature(COSDocument),org.apache.pdfbox.pdfwriter.COSWriter.doWriteSignature(),2.1513700539966613e-15,1.311302335852134e-05,,12,,2.0634976048395308e-05
