method1,method2,method_score1,method_score2
org.apache.pdfbox.pdmodel.font.PDFont.PDFont(COSDictionary),org.apache.pdfbox.pdmodel.font.PDFont.PDFont(COSDictionary),2.160936461180485e-06,2.4991460395371327e-05
org.apache.pdfbox.cos.COSDictionary.COSDictionary(),org.apache.pdfbox.cos.COSDictionary.COSDictionary(),4.115451651274651e-05,8.616441971646412e-06
org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(),0.0013835572038601834,0.000339953563816675
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),0.04327694892506775,0.004244865682044433
org.apache.pdfbox.pdfparser.XrefTrailerResolver.setStartxref(long),org.apache.pdfbox.pdfparser.XrefTrailerResolver.setStartxref(long),7.85454932923647e-06,3.7742556841867663e-06
org.apache.pdfbox.pdmodel.font.PDFont.PDFont(),org.apache.pdfbox.pdmodel.font.PDFont.PDFont(),7.953781257319611e-07,5.298399860767083e-11
org.apache.pdfbox.pdmodel.PDDocument.PDDocument(),org.apache.pdfbox.pdmodel.PDDocument.PDDocument(),1.7812238508918905e-05,1.564191129183923e-05
org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.PDOptionalContentGroup(String),org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup.PDOptionalContentGroup(String),5.207345055010694e-10,6.489665196113265e-11
org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentProperties.PDOptionalContentProperties(),org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentProperties.PDOptionalContentProperties(),2.865650630752701e-10,8.073544778852999e-11
org.apache.pdfbox.pdmodel.PDPage.PDPage(),org.apache.pdfbox.pdmodel.PDPage.PDPage(),2.982929187311397e-08,3.552249769399113e-08
org.apache.pdfbox.pdmodel.PDResources.PDResources(),org.apache.pdfbox.pdmodel.PDResources.PDResources(),1.7479545438570144e-08,6.1674895901711054e-09
org.apache.pdfbox.pdmodel.common.PDPageLabelRange.PDPageLabelRange(),org.apache.pdfbox.pdmodel.common.PDPageLabelRange.PDPageLabelRange(),6.7052809044128e-10,3.6544233960586316e-11
org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm.PDAcroForm(PDDocument),org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm.PDAcroForm(PDDocument),2.600465401813561e-08,4.842544098211987e-09
org.apache.pdfbox.pdmodel.interactive.form.PDField.PDField(PDAcroForm),org.apache.pdfbox.pdmodel.interactive.form.PDField.PDField(PDAcroForm),8.301874778309174e-09,8.405373624118027e-10
org.apache.pdfbox.pdmodel.common.PDNumberTreeNode.PDNumberTreeNode(Class<? extends COSObjectable>),org.apache.pdfbox.pdmodel.common.PDNumberTreeNode.PDNumberTreeNode(Class<? extends COSObjectable>),6.413617489782738e-10,1.3873084216357845e-11
org.apache.pdfbox.pdmodel.PDDocument.getDocumentInformation(),org.apache.pdfbox.pdmodel.PDDocument.getDocumentInformation(),1.3086138259705823e-07,6.806423302695005e-08
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.PDAnnotation(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.PDAnnotation(),4.379602563491348e-08,2.0993764381634685e-09
org.apache.pdfbox.pdmodel.interactive.annotation.PDBorderStyleDictionary.PDBorderStyleDictionary(),org.apache.pdfbox.pdmodel.interactive.annotation.PDBorderStyleDictionary.PDBorderStyleDictionary(),1.6320843527151918e-09,1.495423392429561e-10
org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification.PDComplexFileSpecification(),org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification.PDComplexFileSpecification(),4.5576631249896254e-09,9.740819167477222e-11
"org.apache.pdfbox.cos.COSDictionary.setEmbeddedInt(String, COSName, int)","org.apache.pdfbox.cos.COSDictionary.setEmbeddedInt(String, COSName, int)",6.731709099149287e-10,4.1514383576564866e-11
org.apache.pdfbox.pdmodel.PDDocumentNameDictionary.PDDocumentNameDictionary(PDDocumentCatalog),org.apache.pdfbox.pdmodel.PDDocumentNameDictionary.PDDocumentNameDictionary(PDDocumentCatalog),4.8576204465482474e-09,2.634778686231709e-10
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.PDOutlineNode(),org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.PDOutlineNode(),7.267483195877215e-08,1.1882134456133576e-10
org.apache.pdfbox.pdmodel.PDPage.getActions(),org.apache.pdfbox.pdmodel.PDPage.getActions(),4.748586335936352e-09,4.059602328815322e-12
org.apache.pdfbox.pdmodel.PDDocumentInformation.PDDocumentInformation(),org.apache.pdfbox.pdmodel.PDDocumentInformation.PDDocumentInformation(),3.3736079957817925e-10,3.417958494630907e-11
org.apache.pdfbox.pdmodel.graphics.color.PDLab.PDLab(),org.apache.pdfbox.pdmodel.graphics.color.PDLab.PDLab(),4.735685145578576e-09,8.709183969393375e-10
org.apache.pdfbox.pdmodel.common.PDPageLabels.getCOSObject(),org.apache.pdfbox.pdmodel.common.PDPageLabels.getCOSObject(),1.1061389535930982e-09,2.5931007704403326e-11
org.apache.pdfbox.pdmodel.graphics.color.PDCalRGB.PDCalRGB(),org.apache.pdfbox.pdmodel.graphics.color.PDCalRGB.PDCalRGB(),3.9382305828352796e-08,6.905348486224484e-10
org.apache.pdfbox.pdmodel.fdf.FDFDocument.FDFDocument(),org.apache.pdfbox.pdmodel.fdf.FDFDocument.FDFDocument(),8.251732142540803e-08,5.380446476846605e-06
org.apache.pdfbox.pdmodel.fdf.FDFCatalog.FDFCatalog(),org.apache.pdfbox.pdmodel.fdf.FDFCatalog.FDFCatalog(),3.046949434521224e-09,2.481838599876697e-10
"org.apache.pdfbox.cos.COSDictionary.setEmbeddedDate(String, COSName, Calendar)","org.apache.pdfbox.cos.COSDictionary.setEmbeddedDate(String, COSName, Calendar)",8.256125094044743e-07,1.2334248485687563e-07
"org.apache.pdfbox.cos.COSDictionary.setEmbeddedString(String, COSName, String)","org.apache.pdfbox.cos.COSDictionary.setEmbeddedString(String, COSName, String)",1.102056078012174e-07,2.6377143268179424e-08
org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.PDSignature(),org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.PDSignature(),1.4777494132754366e-08,5.045793521076613e-10
org.apache.pdfbox.pdmodel.interactive.action.PDDocumentCatalogAdditionalActions.PDDocumentCatalogAdditionalActions(),org.apache.pdfbox.pdmodel.interactive.action.PDDocumentCatalogAdditionalActions.PDDocumentCatalogAdditionalActions(),1.1768401014080465e-10,2.0449763638783458e-12
"org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.PDOutputIntent(PDDocument, InputStream)","org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.PDOutputIntent(PDDocument, InputStream)",9.320129082272038e-08,5.206983765550969e-09
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceDictionary.PDAppearanceDictionary(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceDictionary.PDAppearanceDictionary(),3.170399236051424e-09,1.8384091176535876e-10
org.apache.pdfbox.pdmodel.fdf.FDFAnnotation.FDFAnnotation(),org.apache.pdfbox.pdmodel.fdf.FDFAnnotation.FDFAnnotation(),5.052034283979431e-08,1.716216826573892e-08
org.apache.pdfbox.pdfparser.PDFXRefStream.PDFXRefStream(),org.apache.pdfbox.pdfparser.PDFXRefStream.PDFXRefStream(),9.354964784864375e-10,3.0437708223227067e-09
org.apache.pdfbox.pdmodel.fdf.FDFField.FDFField(),org.apache.pdfbox.pdmodel.fdf.FDFField.FDFField(),5.46990932404765e-09,2.6958391727085297e-10
org.apache.pdfbox.pdmodel.interactive.measurement.PDMeasureDictionary.PDMeasureDictionary(),org.apache.pdfbox.pdmodel.interactive.measurement.PDMeasureDictionary.PDMeasureDictionary(),8.836301084498773e-10,2.7882844866886105e-11
org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSeedValue.PDSeedValue(),org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSeedValue.PDSeedValue(),8.648907127721596e-10,2.4652966386528142e-11
org.apache.pdfbox.pdmodel.fdf.FDFDictionary.FDFDictionary(),org.apache.pdfbox.pdmodel.fdf.FDFDictionary.FDFDictionary(),6.177560556382412e-09,2.131472439977371e-10
org.apache.pdfbox.pdmodel.fdf.FDFJavaScript.FDFJavaScript(),org.apache.pdfbox.pdmodel.fdf.FDFJavaScript.FDFJavaScript(),8.630161164975114e-11,2.3371133902206627e-12
org.apache.pdfbox.pdmodel.PDDocumentCatalog.PDDocumentCatalog(PDDocument),org.apache.pdfbox.pdmodel.PDDocumentCatalog.PDDocumentCatalog(PDDocument),4.4661748929206455e-09,1.2570744176898278e-10
org.apache.pdfbox.pdmodel.common.PDDictionaryWrapper.PDDictionaryWrapper(),org.apache.pdfbox.pdmodel.common.PDDictionaryWrapper.PDDictionaryWrapper(),4.8610630027447034e-09,3.089128032301503e-09
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureNode.PDStructureNode(String),org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureNode.PDStructureNode(String),3.538726069862451e-08,1.7575882795972413e-09
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkedContentReference.PDMarkedContentReference(),org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkedContentReference.PDMarkedContentReference(),2.3263442546840267e-10,1.1412093731194709e-11
org.apache.pdfbox.pdmodel.fdf.FDFNamedPageReference.FDFNamedPageReference(),org.apache.pdfbox.pdmodel.fdf.FDFNamedPageReference.FDFNamedPageReference(),1.0199281089527789e-10,2.6292504165629793e-12
