class,path,package,methods
StandardStructureTypes,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\documentinterchange\taggedpdf\StandardStructureTypes.java,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf,StandardStructureTypes
ShowTextLine,pdfbox\src\main\java\org\apache\pdfbox\contentstream\operator\text\ShowTextLine.java,org.apache.pdfbox.contentstream.operator.text,"process,getName"
COSBase,pdfbox\src\main\java\org\apache\pdfbox\cos\COSBase.java,org.apache.pdfbox.cos,"COSBase,getCOSObject,accept,isDirect,setDirect"
Operator,pdfbox\src\main\java\org\apache\pdfbox\contentstream\operator\Operator.java,org.apache.pdfbox.contentstream.operator,"Operator,getOperator,getName,toString,getImageData,setImageData,getImageParameters,setImageParameters"
OperatorProcessor,pdfbox\src\main\java\org\apache\pdfbox\contentstream\operator\OperatorProcessor.java,org.apache.pdfbox.contentstream.operator,"OperatorProcessor,getContext,setContext,process,getName,checkArrayTypesClass"
PDFStreamEngine,pdfbox\src\main\java\org\apache\pdfbox\contentstream\PDFStreamEngine.java,org.apache.pdfbox.contentstream,"PDFStreamEngine,registerOperatorProcessor,addOperator,initPage,processPage,showTransparencyGroup,showForm,processSoftMask,processTransparencyGroup,processType3Stream,processAnnotation,processTilingPattern,processTilingPattern,showAnnotation,getAppearance,processChildStream,processStream,processStreamOperators,pushResources,popResources,clipToRect,beginText,endText,showTextString,showTextStrings,applyTextAdjustment,showText,showGlyph,showFontGlyph,showType3Glyph,processOperator,processOperator,unsupportedOperator,operatorException,saveGraphicsState,restoreGraphicsState,saveGraphicsStack,restoreGraphicsStack,getGraphicsStackSize,getGraphicsState,getTextLineMatrix,setTextLineMatrix,getTextMatrix,setTextMatrix,setLineDashPattern,getResources,getCurrentPage,getInitialMatrix,transformedPoint,transformWidth"
TestSynchronizedMetadataValidation,preflight\src\test\java\org\apache\pdfbox\preflight\metadata\TestSynchronizedMetadataValidation.java,org.apache.pdfbox.preflight.metadata,"initSynchronizedMetadataValidation,initNewDocumentInformation,TestNullDocument,TestNullMetaData,TestDocumentWithoutInformation,testEmptyXMP,testEmptyXMPSchemas,testNullArrayValue,testBadSizeOfArrays,testAllInfoUnsynchronized,testAllInfoSynhcronized,checkSchemaAccessException,testBadPrefixSchemas,testdoublePrefixSchemas,checkErrors"
PDDocument,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,org.apache.pdfbox.pdmodel,"PDDocument,PDDocument,addPage,addSignature,addSignature,findSignatureField,checkSignatureField,prepareVisibleSignature,assignSignatureRectangle,assignAppearanceDictionary,assignAcroFormDefaultResource,prepareNonVisibleSignature,addSignatureField,removePage,removePage,importPage,PDDocument,PDDocument,PDDocument,getDocument,getDocumentInformation,setDocumentInformation,getDocumentCatalog,isEncrypted,getEncryption,setEncryptionDictionary,getLastSignatureDictionary,getSignatureFields,getSignatureDictionaries,getFontsToSubset,load,load,load,load,load,load,load,load,load,load,load,load,load,load,load,load,save,save,save,saveIncremental,getPage,getPages,getNumberOfPages,close,protect,getCurrentAccessPermission,isAllSecurityToBeRemoved,setAllSecurityToBeRemoved,getDocumentId,setDocumentId,getVersion,setVersion,getResourceCache,setResourceCache"
PDDocumentInformation,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocumentInformation.java,org.apache.pdfbox.pdmodel,"PDDocumentInformation,PDDocumentInformation,getCOSObject,getPropertyStringValue,getTitle,setTitle,getAuthor,setAuthor,getSubject,setSubject,getKeywords,setKeywords,getCreator,setCreator,getProducer,setProducer,getCreationDate,setCreationDate,getModificationDate,setModificationDate,getTrapped,getMetadataKeys,getCustomMetadataValue,setCustomMetadataValue,setTrapped"
ValidationException,preflight\src\main\java\org\apache\pdfbox\preflight\exception\ValidationException.java,org.apache.pdfbox.preflight.exception,"ValidationException,ValidationException,ValidationException,ValidationException,getPageNumber"
