Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Estimated Complexity,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,CXF Fields,External issue URL,Flags,Rank
CXF,CXF-5078,WSDLGetInterceptor holds a lock for too long,Bug,Closed,Major,Fixed,Daniel Kulp,John Bellassai,John Bellassai,6/13/2013 20:50,,8/14/2013 15:49,6/17/2013 18:54,"2.5.10, 2.6.8, 2.7.5","2.5.11, 2.6.9, 2.7.6",Simple Frontend,,0,1,,,,,,,CXF-5151,,"WSDLGetInterceptor both creates the WSDL Document object and writes that data to the OutputStream while holding onto a lock. This can cause major issues in an environment where that data is being sent to very slow clients or there are other general networking issues. 

We have seen this problem manifest multiple times in a production environment where all of Tomcat's connection handler threads pile up while waiting for this lock to become available because it is being held by a thread which is trying to write to a socket but cannot for whatever reason. Eventually Tomcat stops responding to new requests and must be bounced. 

Daniel Kulp suggested that instead of writing the WSDL Document directly to the OutputStream from the message, rather write it to a CachedOutputStream while holding the lock. Then outside of the synchronized block, copy it from the CachedOutputStream to the real OutputStream to the client. In this way, a single bad connection or slow client cannot cause trouble for others. 

I will attach a patch made against the lastest WSDLGetInterceptor from 2.7.6-SNAPSHOT.",,,,,,,patch,Unknown,,,,,"4 years, 6 weeks, 4 days ago",,333067,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,333395,,,,,,,,,0|i1lgg7:
CXF,CXF-5079,Add support for mustunderstand = false in PolicyBasedWSS4JOutInterceptor,Improvement,Closed,Major,Fixed,Colm O hEigeartaigh,Oddbjørn Heimdal,Oddbjørn Heimdal,6/14/2013 10:01,7/25/2017 13:19,8/14/2013 15:49,6/14/2013 16:00,"2.5.10, 2.6.8, 2.7.5","2.5.11, 2.6.9, 2.7.6",JAX-WS Runtime,,0,2,,,,,,,,,"As discussed on the cxf-developer mailing list, patch is coming up shortly: 

Yes, please submit a patch for this. 

Colm. 


On Thu, Jun 13, 2013 at 3:53 PM, <oddbjorn.heimdal@accenture.com> wrote: 

> Hi, 
> 
> We have hit a limitation in PolicyBasedWSS4JOutInterceptor which hard 
> codes mustUnderstand = true (line 99). This is configurable in the 
> WSS4JOutInterceptor today, but not when using policy. 
> 
> public void handleMessage(SoapMessage message) throws Fault { 
> Collection<AssertionInfo> ais; 
> SOAPMessage saaj = message.getContent(SOAPMessage.class); 
> 
> boolean mustUnderstand = true; 
> String actor = null; 
> 
> Obviously this makes sense in most cases, but we have some 
> intermediaries which do not understand security... 
> 
> Would you accept a patch to have this configurable, for instance by 
> creating a new property in SecurityConstants (for instance 
> ws-security.mustsunderstand) and default to true? 
> 
> Best regards, 
> 
> Oddbjørn 
> 
> ______________________________________________________________________ 
> _____________________ 
> Oddbjørn Heimdal 
> Accenture Technology Consulting - Security Snarøyveien 30, P.O. Box 
> 363, 1326 Lysaker, Norway 
> Mobile: +47 99 72 19 12 
> Email: oddbjorn.heimdal@accenture.com<mailto: 
> oddbjorn.heimdal@accenture.com> 
> 
> 
> ________________________________ 
> This message is for the designated recipient only and may contain 
> privileged, proprietary, or otherwise confidential information. If you 
> have received it in error, please notify the sender immediately and 
> delete the original. Any other use of the e-mail by you is prohibited. 
> 
> Where allowed by local law, electronic communications with Accenture 
> and its affiliates, including e-mail and instant messaging (including 
> content), may be scanned by our systems for the purposes of 
> information security and assessment of internal compliance with Accenture policy. 
> 
> 
> ______________________________________________________________________ 
> ________________ 
> 
> www.accenture.com 
> 



-- 
Colm O hEigeartaigh 

Talend Community Coder 
http://coders.talend.com 
",,,,,,,,Unknown,6/14/2013 14:50,,,,"4 years, 6 weeks, 3 days ago",,333171,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,333499,,,,,,,,,0|i1lh3b:
CXF,CXF-5080,Introduce CXFBlueprintServlet,New Feature,Closed,Major,Fixed,Sergey Beryozkin,Sergey Beryozkin,Sergey Beryozkin,6/14/2013 11:40,,11/26/2013 17:40,10/31/2013 17:37,3.0.0-milestone1,"3.0.0-milestone1, 2.7.8",Transports,,0,1,,,,,,,ARIES-1122,,"CXFAriesServlet will use Aries BlueprintWeb module, it will probably be nearly the same as CXFServlet except that it will construct the Blueprint Bus. 

http://aries.apache.org/modules/blueprintweb.html 
(Link broken right now). 

More links: 
https://svn.apache.org/repos/asf/aries/trunk/blueprint/blueprint-web/src/main/java/org/apache/aries/blueprint/web/BlueprintContextListener.java 

https://svn.apache.org/repos/asf/aries/trunk/blueprint/blueprint-sample-war/ 
",,,,,,,,Unknown,,,,,"3 years, 42 weeks ago",,333185,,,Restricted to agents,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,333513,,,,,,,,,0|i1lh6f:
CXF,CXF-5081,FIQL - use custome query param name instead of default _s,Improvement,Closed,Major,Fixed,Sergey Beryozkin,Swarup,Swarup,6/14/2013 13:14,,8/14/2013 15:49,6/17/2013 16:07,,"2.6.9, 2.7.6, 3.0.0-milestone1",JAX-RS,,0,2,,,,,,,,,"Hi, 

I couldn't find in docs to customize the default _s query param to my own query param. Is that available? 

Thanks,",,,,,,,,Unknown,6/14/2013 13:28,,,,"4 years, 6 weeks ago",,333198,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,333526,,,,,,,,,0|i1lh9b:
CXF,CXF-5082,JAX-RS frontend has non-optional dependency on blueprint,Bug,Closed,Major,Fixed,Freeman Fang,Thomas Diesler,Thomas Diesler,6/17/2013 8:08,7/25/2017 13:19,8/14/2013 15:49,6/20/2013 6:29,2.7.5,"2.6.9, 2.7.6, 3.0.0-milestone1",JAX-RS,,0,2,,,,,,,,,"We are trying to integrate Camel-CXF with WildFly. This fails because of the non-optional dependency on blueprint. camel-cxf, camel-cxf-transport, cxf-api declare this dependency as optional.",,,,,,,,Unknown,6/20/2013 6:29,,,,"4 years, 5 weeks, 5 days ago",,333477,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,333805,,,,,,,,,0|i1lizb:
CXF,CXF-5083,Failure in checkEndorsed() when timestamp is not signed with EndorsingSupportingTokens,Bug,Closed,Major,Duplicate,Colm O hEigeartaigh,Syed Abdul Wadood,Syed Abdul Wadood,6/17/2013 14:12,,8/14/2013 15:50,6/17/2013 14:21,2.7.5,2.7.5,WS-* Components,,0,2,,172800,172800,,0%,,CXF-5056,All platforms,"In AbstractSupportingTokenPolicyValidator.java, the checkEndorsed() method is failing when TLS is used and timestamp is not signed. In my scenario, I am using EndorsingSupportingTokens with SymmetricBinding and the client request is sent over SSL, so TLS is used. The problem is the SOAP request generated does not have timestamp signed, it only has <ds:Signature> signed, but the checkEndorsed routine is failing as it requires timestamp to be signed with TLS is in use. 

I am not sure if this problem will be fixed by CXF-5056. 
",,0%,0%,,172800,172800,,Moderate,6/17/2013 14:21,,,,"4 years, 6 weeks ago",,333513,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,333841,,,,,,,,,0|i1lj7b:
CXF,CXF-5084,"URIBuilder optimization prevents relative paths that startWith ""h"" ""t"" ""t"" ""p""",Bug,Closed,Major,Fixed,Sergey Beryozkin,David Blevins,David Blevins,6/18/2013 6:46,,8/14/2013 15:49,6/18/2013 10:25,"2.5.10, 2.6.8, 2.7.5","2.5.11, 2.6.9, 2.7.6, 3.0.0-milestone1",,,0,2,,,,,,,TOMEE-982,,"URI uri = new URI(""http://foo/bar/baz;m1=m1value""); 
URI newUri = new UriBuilderImpl(uri).replacePath(""httppnewpath"").build(); 
assertEquals(""URI is not built correctly"", ""http://foo/httppnewpath"", newUri.toString()); 

Should pass, but results in: 

FAILURE! 
org.junit.ComparisonFailure: URI is not built correctly expected:<http:[//foo/]httppnewpath> but was:<http:[]httppnewpath> 
at org.junit.Assert.assertEquals(Assert.java:115) 
at org.apache.cxf.jaxrs.impl.UriBuilderImplTest.testReplacePathHttpString(UriBuilderImplTest.java:537) 
",,,,,,,,Unknown,6/18/2013 10:25,,,,"4 years, 6 weeks ago",,333664,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,333992,,,,,,,,,0|i1lk4v:
CXF,CXF-5085,Fixed package imports in BasicIntegrationTest,Bug,Closed,Major,Fixed,Unassigned,Achim Finke,Achim Finke,6/19/2013 14:01,,7/11/2014 12:50,3/18/2014 20:05,3.0.0-milestone1,3,Services,,0,2,,,,,,,,,"The last Pax Exam [snapshot build|https://oss.sonatype.org/content/repositories/ops4j-snapshots/org/ops4j/pax/exam/pax-exam-container-karaf/3.1.0-SNAPSHOT/] did signifcant package structure changes which are explained by an earlier post at the [karaf mailing list|http://mail-archives.apache.org/mod_mbox/karaf-dev/201304.mbox/%3C51796AB5.6070900@googlemail.com%3E]. 

As XKMS's itests use the pax exam snapshot build some imports had to be adjusted.",,,,,,,,Unknown,3/18/2014 20:05,,,,"3 years, 18 weeks, 6 days ago",,333985,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,334311,,,,,,,,,0|i1lm3r:
CXF,CXF-5086,JSONProvider can not read explicit collections if unmarshallAsJaxbElement property is set,Bug,Closed,Minor,Fixed,Sergey Beryozkin,Sergey Beryozkin,Sergey Beryozkin,6/19/2013 16:02,,8/14/2013 15:49,6/19/2013 20:36,,"2.5.11, 2.6.9, 2.7.6, 3.0.0-milestone1",JAX-RS,,0,1,,,,,,,,,,,,,,,,,Unknown,,,,,"4 years, 5 weeks, 5 days ago",,334016,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,334342,,,,,,,,,0|i1lman:
CXF,CXF-5087,"ThreadLocal: BusFactory.threadBus is never removed, generates permgen out of memory error after some redeployments",Bug,Closed,Major,Fixed,Daniel Kulp,Rene Preissel,Rene Preissel,6/20/2013 12:13,,1/13/2014 3:18,9/27/2013 11:20,2.7.5,2.7.6,"Bus, Core",,2,4,,,,,,,CXF-5492,,"The ThreadLocal BusFactory.threadBus is created in the constructor of the CXFBusImpl and removed in the shutdown()-method. 
But in an application server environment (e.g. JBoss7) with thread pools the constructor and the shutdwon()-method are invoked from different threads and therefore this ThreadLocal is never removed. 

Issue CXF-2164 and CXF-2985 do already discuss this topic and assume that this bug is fixed, but there is still this dangling ThreadLocal. I proved this in a JBoss7.1.1.Final environment. 

I don't know the reason for having this ThreadLocal for the whole lifetime of the bus. From my point of view a ThreadLocal should only exist for the lifetime of one request. At the end of the request, when the thread is given back to the pool, the ThreadLocal must be cleared.",,,,,,,,Unknown,9/27/2013 7:45,,,,"3 years, 43 weeks, 4 days ago",,334199,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,334525,,,,,,,,,0|i1lnfb:
