Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,External issue URL,Flags,Rank
Ivy,IVY-1,use MBeans do find projects,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,10/27/2004 10:24,7/10/2017 11:57,9/29/2005 16:13,11/26/2006 7:02,unspecified,,,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be better to use MBeans in IvyBuilder to find sub projects it has to
build. It would prevent from dual Project instance in jvm, causing build
iteration to be independent between real project and integration one.",,,,,,,,,,,,"12 years, 38 weeks, 5 days ago",,139751,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193041,,,,,,,,0|i0xeu7:
Ivy,IVY-2,add message when downloading files,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,11/8/2004 11:33,,9/29/2005 16:13,11/26/2006 7:02,unspecified,,Ant,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","downloading may be long, and if no progress info is given, one can think that
ivy has failed. we should thus add some progress messages on real downloading
(when artifacts are not in cache)",,,,,,,,,,,,"12 years, 24 weeks, 4 days ago",,139752,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193002,,,,,,,,0|i0xelj:
Ivy,IVY-4,no message when a configuration is not find,Bug,Closed,Major,Fixed,Xavier Hanin,Matthieu Brouillard,Matthieu Brouillard,11/10/2004 18:12,,9/29/2005 16:07,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","There is no message or error to prevent that a configuration is wanted in a
dependance and is not published by the required component.",,,,,,,,12/22/2004 20:11,,,,"12 years, 30 weeks, 4 days ago",,139753,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192767,,,,,,,,0|i0xd5b:
Ivy,IVY-5,add an ibiblio resolver,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,11/10/2004 19:10,,9/29/2005 16:13,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","ivy should have an ibilio resolver able to resolve dependencies using the maven
ibiblio repository",,,,,,,,,,,,"12 years, 30 weeks, 5 days ago",,139754,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193054,,,,,,,,0|i0xex3:
Ivy,IVY-6,add more detail message when a dependency is not resolved,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,11/10/2004 19:13,,9/29/2005 16:12,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be intresting to hava more precision of what was done to resolve a
dependency when it failed, without to have to use the debug mode.",,,,,,,,,,,,"12 years, 36 weeks, 4 days ago",,139755,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193005,,,,,,,,0|i0xem7:
Ivy,IVY-7,add depends between configurations,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,11/12/2004 14:41,,9/29/2005 16:11,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be nice if we could say that a configuration depends on another, so
that whenever a configuration is imported, the dependencies are too.",,,,,,,,,,,,"12 years, 30 weeks, 4 days ago",,139756,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193032,,,,,,,,0|i0xes7:
Ivy,IVY-8,configuration visibility,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,11/12/2004 14:42,,9/29/2005 16:11,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC",it would be nice to say if a configuration is private or public one.,,,,,,,,,,,,"12 years, 30 weeks, 4 days ago",,139757,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192978,,,,,,,,0|i0xeg7:
Ivy,IVY-9,add readable report of resolution,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,11/14/2004 18:00,,9/29/2005 16:12,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","for the moment resolve produce a report placed in cache only, and not really
easy to read for human (xml only). It would be nice to add a xsl or something
like to produce a more readable report.",,,,,,,,,,,,"12 years, 36 weeks ago",,139758,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193062,,,,,,,,0|i0xeyv:
Ivy,IVY-10,add includes excludes feature in dependencies description,Improvement,Closed,Minor,Fixed,Xavier Hanin,Xavier HANIN,Xavier HANIN,11/17/2004 14:15,,9/29/2005 16:12,11/26/2006 7:02,unspecified,,Core,17-Nov-06,0,0,,,,,,,,"Operating System: Windows XP
Platform: PC","it would be nice to have an includes / excludes of artifacts on dependency
description. It would enabled someone to use a dependent ivy module in its own
way, a way that the writer of the dependent ivy file had not think about.

The includes / excludes would work like in ant, and could be applied to direct
dependencies or all depdencies.

It would filter artifacts only.",,,,,,,,,,,,"12 years, 15 weeks, 4 days ago",,139759,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193070,,,,,,,,0|i0xf0n:
Ivy,IVY-14,make path relative to basedir and not to execution dir,Improvement,Resolved,Minor,Won't Fix,Xavier Hanin,Matthieu Brouillard,Matthieu Brouillard,1/7/2005 12:22,,10/4/2005 9:20,11/26/2006 7:05,unspecified,,Ant,17-Nov-06,0,0,,,,,,,,"Operating System: All
Platform: PC","in the ivy tasks, relative paths should be relative to ant basedir and not
relative to execution base dir.
Problems occur when a build file call other build file with ivy tasks in it.",,,,,,,,9/2/2005 12:15,,,,"11 years, 41 weeks, 6 days ago",,139763,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192092,,,,,,,,0|i0x8zb:
