class path,method name,method arguments,LOC,Cyclomatic,Time,OwnTime,Count,Layer,Callees,CalleeInvocations,Callers,CallerInvocations
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,setField,"PDDocument, String, String",33,7,,,,,,,,
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,main,String[],5,1,,,,,,,,
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,setField,String[],25,3,,,,,,,,
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,usage,,4,1,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,,4,1,49,0,93,4,3,188,49,93
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,MemoryUsageSetting,32,3,47,1,99,3,14,1619,2,99
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addPage,PDPage,4,1,15,0,105,5,2,210,26,105
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addSignature,"PDSignature, SignatureInterface",4,1,0,0,2,11,2,4,1,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addSignature,"PDSignature, SignatureInterface, SignatureOptions",75,8,1,0,3,10,25,77,2,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,findSignatureField,"List<PDField>, PDSignature",16,4,0,0,3,10,2,6,1,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,checkSignatureField,"List<PDField>, PDSignatureField",19,4,0,0,3,10,3,9,1,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,prepareVisibleSignature,"PDSignatureField, PDAcroForm, COSDocument",36,7,0,0,1,10,9,28,1,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,assignSignatureRectangle,"PDSignatureField, COSDictionary",6,1,0,0,1,10,5,5,1,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,assignAppearanceDictionary,"PDSignatureField, COSDictionary",6,1,0,0,1,10,4,4,1,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,assignAcroFormDefaultResource,"PDAcroForm, COSDictionary",11,2,0,0,1,10,2,2,1,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,prepareNonVisibleSignature,PDSignatureField,5,1,0,0,2,10,4,8,1,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addSignatureField,"List<PDSignatureField>, SignatureInterface, SignatureOptions",33,6,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,removePage,PDPage,4,1,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,removePage,int,4,1,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,importPage,PDPage,8,1,12524,0,41,11,4,164,2,41
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,COSDocument,4,1,3,0,243,2,1,243,2,243
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,"COSDocument, RandomAccessRead",4,1,3,0,243,2,1,243,1,243
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,<init>,"COSDocument, RandomAccessRead, AccessPermission",6,1,5,0,514,1,3,1030,2,514
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocument,,4,1,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocumentInformation,,15,3,8,0,247,2,5,678,8,247
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,setDocumentInformation,PDDocumentInformation,5,1,0,0,5,11,1,5,1,5
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocumentCatalog,,17,3,16,0,2274,1,3,935,38,2274
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,isEncrypted,,4,1,0,0,76,1,1,76,5,76
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getEncryption,,8,2,0,0,2338,1,1,47,6,2338
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,setEncryptionDictionary,PDEncryption,4,1,,,,,,,,
