Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Blogs - Username,Blogs - Email Address,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,Machine Readable Info,External issue URL,Flags,Rank
PDFBox,PDFBOX-3003,Incorrect color space processing for inline images,Bug,Closed,Major,Fixed,Tilman Hausherr,Evgeniy Muravitskiy,Evgeniy Muravitskiy,10/1/2015 15:23,6/20/2017 6:50,3/17/2016 19:07,10/7/2015 19:19,2.0.0,2.0.0,PDModel,,0,4,,,,,,,,,"Getting wrong color space for inline images because of abbreviations. (PDF Reference 1.4, chapter 4.8.6). 
According to specification inline images can use directly (not by names) only 4 color spaces: DeviceGray (Gray), DeviceCMYK (CMYK), DeviceRGB (RGB), Indexed (I).",,,,,,,,10/1/2015 19:28,,,,"1 year, 35 weeks, 6 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mi7j:
PDFBox,PDFBOX-3004,PDF fulltext index fails.,Bug,Closed,Major,Not A Problem,Unassigned,Arkady Zalkowitsch,Arkady Zalkowitsch,10/2/2015 16:37,,10/2/2015 19:59,10/2/2015 19:59,,,,,0,2,,,,,,,,,"PDF fulltext index fails when font dictionary in there contains one entry for the font Helvetica and an entry for Encoding whose value does not represent a font at all. 

The PDF Object in PDF looks like this: 
{code} 
obj = { 
""/Fields"": [ 12 0 R ], 
""/DA"": ""/Helvetica 0 Tf 0 g"", 
""/DR"": { 
""/Font"": { 
""/Helvetica"": ""11 0 R"", 
""/Encoding"": { 
""/PDFDocEncoding"": ""10 0 R"" 
} 
} 
""/NeedAppearances"": true 
} 
{code} 
PDFBox tries to parse that ""font"" called Encoding and fails doing so. but PDResources.getFonts() only logs the resulting exception: 
{code} 
try { 
newFont = PDFontFactory.createFont( (COSDictionary)font ); 
} catch (IOException exception) { 
LOG.error(""error while creating a font"", exception); 
} 
{code}",,,,,,,,10/2/2015 19:07,,,,"1 year, 37 weeks, 3 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,5,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mjo7:
PDFBox,PDFBOX-3005,Incorrect property names for lists,Bug,Closed,Major,Fixed,Maruan Sahyoun,Evgeniy Muravitskiy,Evgeniy Muravitskiy,10/5/2015 12:45,,3/17/2016 19:08,10/7/2015 16:42,2.0.0,2.0.0,"Writing, XmpBox",,0,4,,,,,,,,,"When i write code as follows: 
{code} 
PDDocument document = PDDocument.load(new File(FILE_PATH)); 
DomXmpParser parser = new DomXmpParser(); 
XMPMetadata metadata = parser.parse(document.getDocumentCatalog().getMetadata().getStream().getUnfilteredStream()); 
metadata.removeSchema(metadata.getPDFIdentificationSchema()); 
OutputStream res = new FileOutputStream(RESULT_XML); 
new XmpSerializer().serialize(metadata, res, true); 
{code} 
I got xml which contain following tag: 
{code} 
<dc:creator> 
<rdf:Seq> 
<rdf:creator>Tomioka, Satoshi</rdf:creator> 
</rdf:Seq> 
</dc:creator> 
{code} 
but instead of {{rdf:creator}} must be {{rdf:li}}. This problem reproducible also for others DublinCoreShema properties which contains lists.",,,,,,,,10/5/2015 16:05,,,,"1 year, 36 weeks, 5 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2ml9b:
PDFBox,PDFBOX-3006,Resource leak in 2.0-SNAPSHOT in PDDocument.load(File...),Bug,Closed,Major,Fixed,Unassigned,Tim Allison,Tim Allison,10/5/2015 21:15,,3/17/2016 19:42,10/5/2015 21:26,,2.0.0,"Parsing, PDModel",,0,2,,,,,,,,,"If a user calls PDDocument#load(File...) around line 907 in trunk and there's a parse exception, the {{raFile}} is never closed. This emerged as a actual issue while running tika-batch to support PDFBOX-2252 and then via code review. 

As a side note, I only looked very quickly, but it isn't clear to me where {{raFile}} is closed under normal circumstances.",,,,,,,,10/5/2015 21:19,,,,"1 year, 37 weeks ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mluv:
PDFBox,PDFBOX-3007,Preflight cookbook example is inefficient,Improvement,Closed,Minor,Fixed,Andreas Lehmkühler,Tilman Hausherr,Tilman Hausherr,10/6/2015 16:43,,1/18/2016 12:01,1/3/2016 17:31,"1.8.10, 1.8.11",1.8.11,Documentation,,0,3,,,,,,,,,"The example shown in 
http://pdfbox.apache.org/1.8/cookbook/pdfavalidation.html 
passes a DataSource object. This results in the creation of a temporary file. The constructor with the DataSource makes only sense when working with URLs. (And that only if http is cached, because preflight does an openStream() for each PDF stream!) 

It would be better to replace 
{code} 
FileDataSource fd = new FileDataSource(args[0]); 
PreflightParser parser = new PreflightParser(fd); 
{code} 
with 
{code} 
PreflightParser parser = new PreflightParser(args[0]); 
{code} 

Edit: removed 2.0, as the example may have to change after solving PDFBOX-3007.",,,,,,,,1/3/2016 17:30,,,,"1 year, 24 weeks, 1 day ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mn9b:
PDFBox,PDFBOX-3008,Memory leak in preflight,Bug,Closed,Major,Fixed,Tilman Hausherr,Tilman Hausherr,Tilman Hausherr,10/6/2015 18:06,,3/17/2016 19:07,10/7/2015 16:07,2.0.0,2.0.0,Preflight,,0,2,,,,,,,,,"PreflightParser has this: 
{code} 
public PreflightParser(DataSource dataSource) throws IOException 
{ 
// TODO move file handling outside of the parser 
super(new RandomAccessBufferedFileInputStream(dataSource.getInputStream())); 
this.setLenient(false); 
this.originalDocument = dataSource; 
} 
{code} 
The TODO message looks like a design issue, but it is much worse: the RandomAccessBufferedFileInputStream is never closed, which results in the temp file not being deleted. The file parameter constructor has the same problem, i.e. that the RandomAccessBufferedFileInputStream object is not closed (no temp file there).",,,,,,,,10/7/2015 16:04,,,,"1 year, 36 weeks, 5 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mnev:
PDFBox,PDFBOX-3009,Unimplemented encoding method in PDCIDFontType0,Task,Open,Minor,Unresolved,Unassigned,Ch. Schlatter,Ch. Schlatter,10/7/2015 16:11,,10/8/2015 7:00,,2.0.0,,PDModel,,0,2,,,,,,,,,"The method ""public byte[] encode(int unicode)"" isn't implemented yet and throws an UnsupportedOperationException. (Called from PDFont -> getStringWidth)",,,,,,,,10/7/2015 23:22,,,,"1 year, 36 weeks, 4 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mp2v:
PDFBox,PDFBOX-3010,SignatureOptions object must not be closed before calling saveIncremental in trunk's CreateVisibleSignature example,Bug,Closed,Major,Fixed,Tilman Hausherr,Tilman Hausherr,Tilman Hausherr,10/7/2015 19:31,,5/6/2016 10:20,10/8/2015 15:23,2.0.0,2.0.0,Signing,,0,4,,,,,,,"PDFBOX-3322, PDFBOX-3011",,"As reported by [~raffeg] on the user mailing list: 
{code} 
Exception in thread ""main"" java.io.IOException: COSStream has been closed and cannot be read. Perhaps its enclosing PDDocument has been closed? 
at org.apache.pdfbox.cos.COSStream.checkClosed(COSStream.java:78) 
at org.apache.pdfbox.cos.COSStream.createRawInputStream(COSStream.java:126) 
at org.apache.pdfbox.pdfwriter.COSWriter.visitFromStream(COSWriter.java:1138) 
at org.apache.pdfbox.cos.COSStream.accept(COSStream.java:372) 
at org.apache.pdfbox.cos.COSObject.accept(COSObject.java:158) 
at org.apache.pdfbox.pdfwriter.COSWriter.doWriteObject(COSWriter.java:538) 
at org.apache.pdfbox.pdfwriter.COSWriter.doWriteBody(COSWriter.java:450) 
at org.apache.pdfbox.pdfwriter.COSWriter.visitFromDocument(COSWriter.java:1039) 
at org.apache.pdfbox.cos.COSDocument.accept(COSDocument.java:409) 
at org.apache.pdfbox.pdfwriter.COSWriter.write(COSWriter.java:1289) 
at org.apache.pdfbox.pdmodel.PDDocument.saveIncremental(PDDocument.java:1118) 
at org.apache.pdfbox.examples.signature.CreateVisibleSignature.signPDF(CreateVisibleSignature.java:169) 
at org.apache.pdfbox.examples.signature.CreateVisibleSignature.main(CreateVisibleSignature.java:261) 
{code} 
He got rid of the exception by moving options.close() after doc.saveIncremental(fos))",,,,,,,,10/8/2015 6:05,,,,"1 year, 36 weeks, 4 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mphz:
PDFBox,PDFBOX-3011,Find out why trunk CreateVisibleSignature example produces incorrect output pdf,Task,Closed,Major,Fixed,Tilman Hausherr,Rafael Gomez,Rafael Gomez,10/8/2015 9:10,,3/17/2016 19:08,10/9/2015 18:33,2.0.0,2.0.0,Signing,,0,3,,,,,,,PDFBOX-3010,"OS X Yosemite on MBP 2,6 GHz Intel Core i7, 16 GB 1600 Mhz DDR3 
java version ""1.7.0_45"" 
Java(TM) SE Runtime Environment (build 1.7.0_45-b18) 
Java HotSpot(TM) 64-Bit Server VM (build 24.45-b08, mixed mode)","To evaluate Apache's PDFBox library, I created a simple sample based on trunk CreateVisibleSignature and CreateSignature. The reason for combining those 2 samples was that each provided features that I wanted to test. The created ""mix"" example is in SignPDFPoC.java. 

The initial problem I faced is related to the sentence closing the SignatureOptions right before calling saveIncremental on the relevant document object. Once I moved the 'options.close()' sentence to a better position (see PDFBOX-3010), SignPDFPoC started to produce correct output, signed, pdf files. And once I added my test certificate chain to the trusted identities, the signature validates correctly. 

After examining the produced, signed, pdf, both via Signature Panel on Adobe Reader and via the file itself (binary), I got stuck on ""Field: Signature1"". I initially supposed that PDVisibleSignDesigner.signatureFieldName was used for that purpose. But it does not seem to be the case. Moreover, for invisible signatures, no PDVisibleSignDesigner is used, so there must be a different way. 

So I decided to build and execute the original CreateVisibleSignature from trunk to check whether it did something different regarding ""Field: Signature1"" that I could have missed in my ""mix"" example. This is how I found out that the trunk CreateVisibleSignature example produces incorrect pdf files. Or I must be doing something terribly wrong that, in advanced, I apologize for. 

I attach complete zip files for reproducing the observation: 
- mix_example_correct_signed_pdf 
- trunk_createvisiblesignature_example_incorrect_signed_pdf 

Simply add the .zip suffix, unpack and run the corresponding _execute.sh script. There are already .class files available. The needed dependencies are also present. As test p12 containing a certificate chain, test pdf file and test image. 

",,,,,,,,10/8/2015 15:21,,,,"1 year, 35 weeks, 6 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,4,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2mqq7:
PDFBox,PDFBOX-3012,PDAcroForm flatten() throws ClassCastException,Bug,Closed,Major,Fixed,Maruan Sahyoun,Jason Mackin,Jason Mackin,10/8/2015 22:26,,3/17/2016 19:07,10/9/2015 16:51,2.0.0,2.0.0,AcroForm,,0,3,,,,,,,,,"In the PDAcroForm class, in the flatten() method, there is a for loop that tries casting field to a PDTerminalField. But, the field is sometimes a PDNonTerminalField and the casting error is thrown. 

To fix this I just add one if statement right before the for loop that checks to see if field is an instance of PDTerminalField and place the for loop inside the if statement: 

if(field instanceof PDTerminalField){",,,,,,,easyfix,10/9/2015 7:07,,,,"1 year, 36 weeks, 3 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,0|i2ms3j:
