Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Blogs - Username,Blogs - Email Address,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,Machine Readable Info,External issue URL,Flags,Rank
PDFBox,PDFBOX-5,CJK decoding,New Feature,Closed,,Fixed,Andreas Lehmkühler,Anonymous,Anonymous,7/4/2003 0:57,6/20/2017 6:37,5/29/2012 16:21,11/6/2011 16:42,,1.7.0,Text extraction,,0,0,,,,,,,PDFBOX-654,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=765686
Originally submitted by bguan on 2003-07-03 17:57.

Another feature I need a lot is the correct interpretation 
of CJK encoding.

Yes, I know PDF can be a pain when it comes to 
correctly interpreting CJK charsets, as many factors are 
involved, including whether a font (or its subset) is 
embeded or not.

Attached is a simple Korean PDF that so far has not 
been correctly interpreted by any java based 
opensource libraries. Though it could be rendered 
correctly by XPDF on linux and also Windows.

[attachment on SourceForge]
http://sourceforge.net/tracker/download.php?group_id=78314&atid=552835&aid=765686&file_id=80181
CJK.zip (), 142061 bytes
CJK PDF, output and test program

[comment on SourceForge]
Originally sent by bguan.
Logged In: YES 
user_id=815589

Hello Ben,

Thanks for the response. I just downloaded PDFBox 0.6.5 and 
wrote a little sample program to test it against 3 CJK PDF files 
I have, and the output is still no good. I have attached my 
sample program, the 3 PDFs and the output in the attached 
zip file.

Can you tell me what I am foing wrong?

The PDF files were generated by using Adobe Acrobat 5.0 
using embeded fonts I believe.

Thank you.

[comment on SourceForge]
Originally sent by benlitchfield.
Logged In: YES 
user_id=601708

There was no attachment with this. I have done some CJK 
work in the 0.6.5 release. Please attach the document and I 
can take a look at it.(Make sure you check the 'attach file' 
checkbox)

Ben",,,,,,,,,,,,"5 years, 33 weeks, 1 day ago",,73867,,,Restricted to agents,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,204711,,,,,,,0|i0zevb:
PDFBox,PDFBOX-6,PDF to HTML conversion,New Feature,Closed,,Implemented,Unassigned,Anonymous,Anonymous,9/8/2003 11:42,,5/3/2014 21:50,5/3/2014 21:50,,,Utilities,,1,2,,,,,,,,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=802407
Originally submitted by winstanley_john on 2003-09-08 04:42.

PDF to HTML conversion. 
Conserve formating.

check out www.sourceforge.net/projects/pdftohtml 
for a hack of this process.



[comment on SourceForge]
Originally sent by winstanley_john.
Logged In: YES 
user_id=747013

Also conversion to xml or word etc would be amazing.",,,,,,,,,,,,"3 years, 7 weeks, 2 days ago",,84871,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,289332,,,,,,,0|i1dwbb:
PDFBox,PDFBOX-7,extract information from tagged PDF,New Feature,Closed,,Fixed,Unassigned,Anonymous,Anonymous,9/13/2003 14:38,,3/30/2010 8:23,3/11/2010 8:38,,1.1.0,PDModel,,0,0,,,,,,,"PDFBOX-48, PDFBOX-67",,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=805623
Originally submitted by benlitchfield on 2003-09-13 07:38.

Add the ability to extract information from a tagged PDF 
document. See taggedPDF.pdf for an example.

[comment on SourceForge]
Originally sent by qumar.
Logged In: YES 
user_id=1468838

Hi,
we have to parse the PDF object structure tree; all
structural elements are inside the object tree (see e.g.
PDFReference 1.4 chapter 9.6 ""Logical Structure"").
- parse the PDF page streams to extract drawing and text
operations;these contain the actual content of the
structural elements. This content is surrounded by BMC/EMC
tags which contain information to which element object the
contained content belongs.This is what i got from pdf reference.

Regards,
Qumar.


[comment on SourceForge]
Originally sent by benlitchfield.
Logged In: YES 
user_id=601708

http://www.irs.gov/pub/irs-access/f1040ez_accessible.pdf
would be a good form to start with.

If you notice they are putting labels on the form fields. 
these labels contain meta data critical to building tax 
software in rapid fashion. Without this meta data, the 
name of the form field is meaningless. It would be nice to 
extract this information so I can combine it with other 
data about the field (name, type, location, etc). I 
already know PDFBox can extract the other information about 
the fields. I haven't done it with PDFBox, but I did it 
with iText.

[comment on SourceForge]
Originally sent by benlitchfield.
Logged In: YES 
user_id=601708

More comments from users

Tagged PDF will be a big thing in government because 
federal government procurement of Acrobat publishing 
technology falls under Section 508. States will likely 
follow.

see:
www.section508.gov

http://www.irs.gov/pub/irs-access/
or
ftp://ftp.irs.gov/pub/irs-access/


[comment on SourceForge]
Originally sent by qumar.
Logged In: YES 
user_id=1468838

Hi,

i was seeing the specification of pdf and came to know the
structure information of pdf will be in PDSEdit
layer,PDSEdit Layer gives access to structure tree with in a
pdf and methods methods and objects are prefixed by PDS.So
how can we get access to PDSEdit layer of pdf.

[comment on SourceForge]
Originally sent by qumar.
Logged In: YES 
user_id=1468838

It would be nice if pdfbox can provide the ability to
extract information from tagged PDF.As Adobre Acrobat Reader
provides the tags for the pdf, pdfbox should also try to get
the tagged pdfs.

for example if iwe have a pdf file with a para1 under
header1 and para2 under header 2 and a table with rows and
columns.something like 

Header1 
This is a para 1 ,it describes about a disease. 
Header2 
This is a para2,describes remedies of disease. 
Table 
A B 
C D 


Now the tagged pdf looks like below in adobe acrobat reader

<Heading 1> 
Header1 
<Normal> 
This is a para 1 ,it describes about a disease. 
<Heading 1> 
Header1 
<Normal> 
This is a para2,describes remedies of disease. 
<Heading 1> 
Table 
<Table> 
<TBody> 
<TR> 
<TD> 
<Normal> 
A 
<TD> 
<Normal> 
B 
<TR> 
<TD> 
<Normal> 
C 
<TD> 
<Normal> 
D 

how can we extract the Heading1 ,Heading 2 and tabular data
using pdfbox.

This is a good feature which should be added to the armory
pdfbox.

Please provide this feature.",,,,,,,,,,,,"7 years, 15 weeks, 4 days ago",,163016,,,Restricted to agents,,,,,,,,,,,6,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,204744,,,,,,,0|i0zf2n:
PDFBox,PDFBOX-8,alternate header form,New Feature,Closed,,Won't Fix,Unassigned,Anonymous,Anonymous,10/26/2003 15:13,,8/4/2014 18:33,8/4/2014 18:33,,,Parsing,,0,1,,,,,,,,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=830521
Originally submitted by benlitchfield on 2003-10-26 07:13.

Support PDF Reference 1.5 Impl Note 14 

14. Acrobat viewers will also accept a header of the form
%!PS&#8722;Adobe&#8722;N.n PDF&#8722;M.m",,,,,,,,,,,,"2 years, 46 weeks ago",,84841,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,289334,,,,,,,0|i1dwbr:
PDFBox,PDFBOX-9,HTML -> PDF,New Feature,Closed,,Won't Fix,Unassigned,Anonymous,Anonymous,11/13/2003 4:03,,5/3/2014 21:46,5/3/2014 21:46,,,Utilities,,1,2,,,,,,,,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=841169
Originally submitted by nobody on 2003-11-12 20:03.

It would be really nice to take a html and create a PDF 
from it.",,,,,,,,,,,,"3 years, 7 weeks, 2 days ago",,84849,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,289333,,,,,,,0|i1dwbj:
PDFBox,PDFBOX-10,Set label on PDPushButton,New Feature,Closed,,Won't Fix,Unassigned,Anonymous,Anonymous,3/9/2004 3:25,,10/10/2014 23:23,10/10/2014 23:23,,,AcroForm,,0,1,,,,,,,,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=912459
Originally submitted by benlitchfield on 2004-03-08 19:25.

Allow for ability to change the label on a push button.",,,,,,,,,,,,"2 years, 36 weeks, 3 days ago",,84839,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,289335,,,,,,,0|i1dwbz:
PDFBox,PDFBOX-11,CID to Unicode mapping,New Feature,Closed,,Fixed,Unassigned,Anonymous,Anonymous,4/8/2004 9:45,,5/2/2013 2:29,9/5/2010 10:50,,1.3.1,Text extraction,,0,0,,,,,,,"PDFBOX-874, PDFBOX-570",,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=931628
Originally submitted by vadimbit on 2004-04-08 02:45.

For extracting CJK text it would be usefull to map CID-
keyed cheracters to Unicode. 

For example, ""90ms-RKSJ-UCS2"" cmap file can be use 
for retrieving unicodes for ""90ms-RKSJ-H"" and ""90ms-
RKSJ-V"" encoding of CID-fonts.

Now CMapParser parse ""bfrange"" and ""bfchar"". If is 
enough for parsing ToUnicode CMap files. 

So, as I understand, ""encoding name to ToUnicode 
CMap file name"" mapping is needed only.

[comment on SourceForge]
Originally sent by vadimbit.
Logged In: YES 
user_id=958555

Some additional information...

There is better way to retrieve unicode symbol:

We should get CID, using natural CMap file and map it to 
Unicode, using appropriate Uni* CMap file (backward 
mapping)...

So, ""cidrange"" and ""cidchar"" should be parsered too...",,,,,,,,,,,,"6 years, 42 weeks, 1 day ago",,163017,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,204675,,,,,,,0|i0zenb:
PDFBox,PDFBOX-12,text from box,New Feature,Closed,,Fixed,Unassigned,Anonymous,Anonymous,4/22/2004 8:19,6/20/2017 6:31,6/17/2014 19:40,6/17/2014 19:40,,1.7.0,Text extraction,,0,1,,,,,,,,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=939868
Originally submitted by ramyamd on 2004-04-22 01:19.

I am attaching a file with this message. 

problem:

The text from the rectangles are not read sequentially 
i.e not extract from a single rectangle at a time. it is 
extracting randomly from different rectangles. I want to 
get the text rectangle wise.


for example - PDF page no - 89

The text is to be extracted in this way

A
767
FAULT ISOLATION/MAINT MANUAL

PASSENGER ADDRESS
AMPLIFIER BITE
PROCEDURE

PREREQUISITES
MAKE SURE THIS CIRCUIT BREAKER IS CLOSED:
11C22
MAKE SURE THE AIRPLANE IS IN THIS CONFIGURATION:
ELECTRICAL POWER IS ON (AMM 24-22-00/201)

1 SET THE FUNCTION SELECTOR NO
SWITCH TO THE ""LEVEL"" POSITION
ON THE PA AMPLIFIER FRONT
PANEL AT E2-5.
DOES THE PA AMPLIFIER
FRONT PANEL SHOW 69 TO 71
VRMS?

10 ADJUST THE ""MASTER GAIN""
FOR 69 TO 71 VRMS.
DOES THE PA AMPLIFIER
FRONT PANEL SHOW 69 TO 71
VRMS?
YES
NO
20 REPLACE THE PA AMPLIFIER,
M177 (AMM 23-31-01/401).
YES
2 SET THE FUNCTION SELECTOR
SWITCH TO THE ""LOAD"" POSITION.
DOES THE PA AMPLIFIER NO
FRONT PANEL SHOW 30 OHMS OR
MORE?
YES
21 EXAMINE THE SPEAKER WIRING
FOR SHORT CIRCUITS FROM
PIN A13 TO B13 (IF USED) AND
PIN A15 TO B15, OF CONNECTOR
D455B, AT E2-5 (WDM 23-31-14
THRU 23-31-17).
REPAIR THE PROBLEMS THAT
YOU FIND.

3 SET THE FUNCTION SELECTOR NO
SWITCH TO THE ""TONE"" POSITION.
DO YOU HEAR SOUND FROM ALL
THE PA SPEAKERS?
YES
4 SET THE FUNCTION SELECTOR
SWITCH TO THE ""OPERATE"" POSI-
TION.
THE SYSTEM IS OK.
11 DO YOU HEAR NO SOUND AT
ONE OF THE SPEAKERS?
NO
12 DO YOU HEAR NO SOUND FROM
ALL OF THE SPEAKERS?
NO
YES
YES
22 REPLACE THE BAD SPEAKER.
REFER TO TABLE 101.
23 REPLACE THE PA AMPLIFIER,
M177 (AMM 23-31-01/401).
24 EXAMINE THE SPEAKER WIRING
FOR OPEN CIRCUITS FROM A
SPEAKER WITH THE SOUND TO A
SPEAKER WITHOUT (WDM 23-31-14
THRU 23-31-17).
REPAIR THE PROBLEMS THAT
YOU FIND.

NOTE:
BITE DOES A TEST OF THESE SYSTEM COMPONENTS:
PA AMPLIFIER 
SPEAKERS
SPEAKER WIRING. 
BITE DOES NOT DO A TEST OF THESE SYSTEM 
COMPONENTS:
AUDIO ACCESSORY UNIT 
ZONE MULTIPLEXER. 
SPEAKER
LOCATION
PSU
GALLEY
LAVATORY
CEILING
AMM
REFERENCE
23-31-02/401
23-31-04/401
23-31-05/401
23-31-08/401
TABLE 101
Passenger Address Amplifier BITE Procedure
Figure 103


its just the outline of how i need the information. The 
text should be read completely from one rectanble and 
then switched to next rectangle etc.,

Similar pages are also in this PDF document. pls test it 
with that also.

it will be useful for me if u give the details of the images 
in this file(how it is stored and which format)

pls give importance to this message.
Thanks in advance. Waiting for ur reply.



[attachment on SourceForge]
http://sourceforge.net/tracker/download.php?group_id=78314&atid=552835&aid=939868&file_id=84628
task23.zip (), 138214 bytes",,,,,,,,,,,,"3 years, 6 days ago",,84844,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,289336,,,,,,,0|i1dwc7:
PDFBox,PDFBOX-13,Add ability to digitally sign a PDF,New Feature,Closed,,Fixed,Thomas Chojecki,Anonymous,Anonymous,7/29/2004 13:27,,2/8/2014 11:25,2/8/2014 11:21,,1.8.0,Signing,,0,2,,,,,,,PDFBOX-912,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=1000109
Originally submitted by benlitchfield on 2004-07-29 06:27.


Implementation Notes:
What about the info on this site:
http://www.codeproject.com/useritems/PdfDigiPad.asp

Adobe PDF Public-Key Digital Signature and Encryption 
Specification
http://partners.adobe.com/asn/developer/pdfs/tn/ppk_pd
fspec.pdf

Adobe Acrobat Digital Signature API Reference
http://partners.adobe.com/asn/acrobat/docs/digsig.pdf

http://www.mail-archive.com/itext-
questions@lists.sourceforge.net/msg11084.html

http://groups.google.de/groups?
q=sign+openssl+group:comp.text.pdf&hl=de&lr=lang_de|l
ang_en&ie=UTF-
8&group=comp.text.pdf&selm=f55510dc.0403111256.f0a6
513%40posting.google.com&rnum=1



[comment on SourceForge]
Originally sent by notessensei.
Logged In: YES 
user_id=675521

I second the request

[comment on SourceForge]
Originally sent by benlitchfield.
Logged In: YES 
user_id=601708

The org.pdfbox.pdmodel.interactive.digitalsignature package 
has been created but needs to be implemented.

Ben

[comment on SourceForge]
Originally sent by benlitchfield.
Logged In: YES 
user_id=601708

java example of signing a pdf using an x509 certificate from a 
file or a X506Certificate instance",,,,,,,,,,,,"3 years, 19 weeks, 2 days ago",,84870,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,289341,,,,,,,0|i1dwdb:
PDFBox,PDFBOX-14,Add ability to set document information using PDFViewer,New Feature,Closed,,Won't Fix,Unassigned,Anonymous,Anonymous,7/30/2004 12:22,,10/10/2014 23:22,10/10/2014 23:22,,,Swing GUI,,0,1,,,,,,,,,"[imported from SourceForge]
http://sourceforge.net/tracker/index.php?group_id=78314&atid=552835&aid=1000668
Originally submitted by benlitchfield on 2004-07-30 05:22.

Enhance PDFViewer to show a dialog with the document 
information, allow the user to edit this information and 
save it back to the file system. 

Also give the ability to change a set of PDF documents, 
such as a subdirectory or something.",,,,,,,,,,,,"2 years, 36 weeks, 3 days ago",,84843,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,289340,,,,,,,0|i1dwd3:
