class path,method name,method arguments,LOC,Cyclomatic,Time,OwnTime,Count,Layer,Callees,CalleeInvocations,Callers,CallerInvocations
xmpbox\src\main\java\org\apache\xmpbox\type\RealType.java,<init>,"XMPMetadata, String, String, String, Object",4,1,0,0,4,,1,4,3,4
xmpbox\src\main\java\org\apache\xmpbox\type\RealType.java,getValue,,4,1,0,0,1,,1,1,1,1
xmpbox\src\main\java\org\apache\xmpbox\type\RealType.java,setValue,Object,15,3,0,0,4,,3,4,1,4
xmpbox\src\main\java\org\apache\xmpbox\type\RealType.java,getStringValue,,4,1,2,0,1,,1,1,1,1
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,<init>,,5,1,2229,0,798,,2,802,2,798
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,<init>,"String, String, String, String",9,1,2996,1,1029,,5,2085,2,1029
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,createXMPMetadata,,4,1,1842,0,631,,1,631,22,631
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,createXMPMetadata,"String, String, String, String",5,1,771,0,233,,1,233,2,233
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getTypeMapping,,4,1,,,,,,,,
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getXpacketBytes,,4,1,,,,,,,,
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getXpacketEncoding,,4,1,,,,,,,,
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getXpacketBegin,,4,1,,,,,,,,
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getXpacketId,,4,1,,,,,,,,
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getAllSchemas,,9,2,2,0,424,,5,3435,7,424
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,setEndXPacket,String,4,1,,,,,,,,
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getEndXPacket,,4,1,,,,,,,,
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,getSchema,String,14,3,9,4,2518,,4,20077,4,2518
