class,path,package,methods
GoToAction,preflight\src\main\java\org\apache\pdfbox\preflight\action\GoToAction.java,org.apache.pdfbox.preflight.action,"GoToAction,innerValid"
COSBase,pdfbox\src\main\java\org\apache\pdfbox\cos\COSBase.java,org.apache.pdfbox.cos,"COSBase,getFilterManager,getCOSObject,accept,setNeedToBeUpdate,isDirect,setDirect,isNeedToBeUpdate"
COSDictionary,pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,org.apache.pdfbox.cos,"COSDictionary,COSDictionary,containsValue,getKeyForValue,size,clear,getDictionaryObject,getDictionaryObject,getDictionaryObject,getDictionaryObject,getDictionaryObject,setItem,setItem,setItem,setBoolean,setBoolean,setItem,setName,setName,setDate,setDate,setEmbeddedDate,setEmbeddedDate,setString,setString,setEmbeddedString,setEmbeddedString,setInt,setInt,setLong,setLong,setEmbeddedInt,setEmbeddedInt,setFloat,setFloat,getNameAsString,getNameAsString,getNameAsString,getNameAsString,getString,getString,getString,getString,getEmbeddedString,getEmbeddedString,getEmbeddedString,getEmbeddedString,getDate,getDate,getDate,getDate,getEmbeddedDate,getEmbeddedDate,getEmbeddedDate,getEmbeddedDate,getBoolean,getBoolean,getBoolean,getEmbeddedInt,getEmbeddedInt,getEmbeddedInt,getEmbeddedInt,getInt,getInt,getInt,getInt,getInt,getInt,getInt,getLong,getLong,getLong,getLong,getLong,getFloat,getFloat,getFloat,getFloat,removeItem,getItem,getItem,keyList,keySet,entrySet,getValues,accept,addAll,containsKey,containsKey,mergeInto,getObjectFromPath,toString"
COSDocument,pdfbox\src\main\java\org\apache\pdfbox\cos\COSDocument.java,org.apache.pdfbox.cos,"COSDocument,COSDocument,COSDocument,COSDocument,COSDocument,getScratchFile,createCOSStream,createCOSStream,getObjectByType,getObjectByType,getObjectsByType,getObjectsByType,print,setVersion,getVersion,setDecrypted,isDecrypted,isEncrypted,getEncryptionDictionary,getSignatureInterface,setEncryptionDictionary,getSignatureDictionaries,getSignatureFields,getDocumentID,setDocumentID,setSignatureInterface,getCatalog,getObjects,getTrailer,setTrailer,accept,close,finalize,setWarnMissingClose,getHeaderString,setHeaderString,dereferenceObjectStreams,getObjectFromPool,removeObject,addXRefTable,getXrefTable,setStartXref,getStartXref,isXRefStream"
COSName,pdfbox\src\main\java\org\apache\pdfbox\cos\COSName.java,org.apache.pdfbox.cos,"getPDFName,COSName,COSName,getName,toString,equals,hashCode,compareTo,accept,writePDF,clearResources"
PreflightContext,preflight\src\main\java\org\apache\pdfbox\preflight\PreflightContext.java,org.apache.pdfbox.preflight,"PreflightContext,PreflightContext,getMetadata,setMetadata,getDocument,getXrefTableResolver,setXrefTableResolver,setDocument,getSource,isComplete,addFontContainer,getFontContainer,getIccProfileWrapper,setIccProfileWrapper,getConfig,setConfig,close,addValidationError,addValidationErrors,getValidationPath,setValidationPath,isIccProfileAlreadySearched,setIccProfileAlreadySearched"
COSUtils,preflight\src\main\java\org\apache\pdfbox\preflight\utils\COSUtils.java,org.apache.pdfbox.preflight.utils,"isDictionary,isString,isStream,isInteger,isNumeric,isFloat,isArray,getAsArray,getAsString,getAsDictionary,getAsStream,getAsFloat,getAsInteger,closeDocumentQuietly,closeDocumentQuietly"
ValidationResult,preflight\src\main\java\org\apache\pdfbox\preflight\ValidationResult.java,org.apache.pdfbox.preflight,"ValidationResult,ValidationResult,ValidationResult,mergeResult,getXmpMetaData,setXmpMetaData,isValid,addError,addErrors,getErrorsList"
AbstractActionManager,preflight\src\main\java\org\apache\pdfbox\preflight\action\AbstractActionManager.java,org.apache.pdfbox.preflight.action,"AbstractActionManager,isAdditionalAction,getActionDictionnary,getAdditionalActionKey,validNextActions,valid,valid,innerValid"
ActionManagerFactory,preflight\src\main\java\org\apache\pdfbox\preflight\action\ActionManagerFactory.java,org.apache.pdfbox.preflight.action,"getActionManagers,callCreateAction,callCreateAction,getNextActions,createActionManager"
PDDocument,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,org.apache.pdfbox.pdmodel,"PDDocument,generatePageMap,processListOfPageReferences,parseCatalogObject,getPageMap,addPage,addSignature,addSignature,addSignatureField,removePage,removePage,importPage,PDDocument,PDDocument,getDocument,getDocumentInformation,setDocumentInformation,getDocumentCatalog,isEncrypted,getEncryptionDictionary,setEncryptionDictionary,getSignatureDictionary,getLastSignatureDictionary,getSignatureFields,getSignatureDictionaries,isUserPassword,isOwnerPassword,decrypt,wasDecryptedWithOwnerPassword,encrypt,getOwnerPasswordForEncryption,getUserPasswordForEncryption,willEncryptWhenSaving,clearWillEncryptWhenSaving,load,load,load,load,load,load,load,load,load,load,load,load,loadNonSeq,loadNonSeq,loadNonSeq,loadNonSeq,save,save,save,saveIncremental,saveIncremental,getPageCount,getNumberOfPages,getPageFormat,getPrintable,print,print,silentPrint,silentPrint,print,close,protect,openProtection,getCurrentAccessPermission,getSecurityHandler,setSecurityHandler,isAllSecurityToBeRemoved,setAllSecurityToBeRemoved,getDocumentId,setDocumentId"
FastByteArrayOutputStream,pdfbox\src\main\java\org\apache\pdfbox\io\FastByteArrayOutputStream.java,org.apache.pdfbox.io,"FastByteArrayOutputStream,getByteArray"
