class,path,package,methods
CMAPTable,fontbox\src\main\java\org\apache\fontbox\ttf\CMAPTable.java,org.apache.fontbox.ttf,"initData,getCmaps,setCmaps"
TTFTable,fontbox\src\main\java\org\apache\fontbox\ttf\TTFTable.java,org.apache.fontbox.ttf,"getCheckSum,setCheckSum,getLength,setLength,getOffset,setOffset,getTag,setTag,initData"
CMAPEncodingEntry,fontbox\src\main\java\org\apache\fontbox\ttf\CMAPEncodingEntry.java,org.apache.fontbox.ttf,"initData,initSubtable,processSubtype8,processSubtype10,processSubtype12,processSubtype13,processSubtype14,processSubtype6,processSubtype4,processSubtype2,processSubtype0,getGlyphIdToCharacterCode,setGlyphIdToCharacterCode,getPlatformEncodingId,setPlatformEncodingId,getPlatformId,setPlatformId,getGlyphId"
TTFDataStream,fontbox\src\main\java\org\apache\fontbox\ttf\TTFDataStream.java,org.apache.fontbox.ttf,"read32Fixed,readString,readString,read,readLong,readSignedByte,readUnsignedByte,readUnsignedInt,readUnsignedShort,readUnsignedByteArray,readUnsignedShortArray,readSignedShort,readInternationalDate,close,seek,read,read,getCurrentPosition,getOriginalData"
TrueTypeFont,fontbox\src\main\java\org\apache\fontbox\ttf\TrueTypeFont.java,org.apache.fontbox.ttf,"TrueTypeFont,close,getVersion,setVersion,addTable,getTables,getNaming,getPostScript,getOS2Windows,getMaximumProfile,getHeader,getHorizontalHeader,getHorizontalMetrics,getIndexToLocation,getGlyph,getCMAP,getOriginalData"
RunLengthDecodeFilter,pdfbox\src\main\java\org\apache\pdfbox\filter\RunLengthDecodeFilter.java,org.apache.pdfbox.filter,"RunLengthDecodeFilter,decode,encode"
COSDictionary,pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,org.apache.pdfbox.cos,"COSDictionary,COSDictionary,containsValue,getKeyForValue,size,clear,getDictionaryObject,getDictionaryObject,getDictionaryObject,getDictionaryObject,getDictionaryObject,setItem,setItem,setItem,setBoolean,setBoolean,setItem,setName,setName,setDate,setDate,setEmbeddedDate,setEmbeddedDate,setString,setString,setEmbeddedString,setEmbeddedString,setInt,setInt,setLong,setLong,setEmbeddedInt,setEmbeddedInt,setFloat,setFloat,getNameAsString,getNameAsString,getNameAsString,getNameAsString,getString,getString,getString,getString,getEmbeddedString,getEmbeddedString,getEmbeddedString,getEmbeddedString,getDate,getDate,getDate,getDate,getEmbeddedDate,getEmbeddedDate,getEmbeddedDate,getEmbeddedDate,getBoolean,getBoolean,getBoolean,getEmbeddedInt,getEmbeddedInt,getEmbeddedInt,getEmbeddedInt,getInt,getInt,getInt,getInt,getInt,getInt,getInt,getLong,getLong,getLong,getLong,getLong,getFloat,getFloat,getFloat,getFloat,removeItem,getItem,getItem,keyList,keySet,entrySet,getValues,accept,addAll,containsKey,containsKey,mergeInto,getObjectFromPath,toString"
PdfDecompressor,pdfbox\src\main\java\org\apache\pdfbox\PdfDecompressor.java,org.apache.pdfbox,"main,usage"
COSObject,pdfbox\src\main\java\org\apache\pdfbox\cos\COSObject.java,org.apache.pdfbox.cos,"COSObject,getDictionaryObject,getItem,getObject,setObject,toString,getObjectNumber,setObjectNumber,getGenerationNumber,setGenerationNumber,accept"
COSStream,pdfbox\src\main\java\org\apache\pdfbox\cos\COSStream.java,org.apache.pdfbox.cos,"clone,COSStream,COSStream,replaceWithStream,getScratchFile,getStreamTokens,getFilteredStream,getFilteredLength,getUnfilteredStream,accept,doDecode,doDecode,doEncode,doEncode,getFilters,createFilteredStream,createFilteredStream,setFilters,createUnfilteredStream,close"
