Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description
Ivy,IVY-93,Ability to specify a root module in buildlist to filter out unnecessary build files,Improvement,Closed,Major,Fixed,Xavier Hanin,Kristian Cibulskis,Kristian Cibulskis,10/19/2005 12:10,,1/21/2006 15:32,11/26/2006 7:03,1.2,1.3-RC1,Ant,17-Nov-06,0,0,,,,,,,,,"A discussion of this can be found at http://www.jayasoft.org/node/293

Quoting the relevant section:

We have the same problem here. Basically, we have a directory like:

sandbox
-> ComponentA
-> ComponentB
-> ComponentC
-> etc.

and components depend upon one another. Each component has an ivy file that defines it's dependencies. So say I have ComponentJ which depends upon H and C (and C depends upon A). What I have to do now is create a separate list of build.xml files for the buildlist target so that the build for ComponentJ only tries to order J, H, C and A. Otherwise I spend time building all the other components when they're not needed. Quite a pain because basically I'm re-resolving what Ivy already knows about about the transitive dependencies.

What would be great is if I could pass in the entire set of build.xmls for all the components and then say, effectively, ""Order this list of build.xml files as if I was building ComponentK"". It would then order the entire list, and drop off all components (except the 'root' one) upon which no other component was depending.


"
Ivy,IVY-122,Delivering files to cache only.,New Feature,Open,Major,Unresolved,Unassigned,Matt Inger,Matt Inger,1/5/2006 14:54,,2/29/2008 11:45,,1.3-RC1,,Core,17-Nov-06,0,0,,,,,,,,,"Unless i'm missing somethign, there seems to be no standard way to deliver ivy files and artifacts to just the
user's local cache. Instead, you have to setup the cache as a resolver, and publish to that resolver. This seems
rather innefficient. It would be more helpful to have an ivy task to this directly:

<ivy:cache .... />

This task would basically just place all the artifacts and the ivy file in your cache.

This is helpful when you start a project, or when a developer does not have write access to the
master repository. Consider this setup:

1. Master Repository is on Node A
2. Developers resolve dependencies using an url resolver (http) for the master repository
3. Automated build server publishes via a file-system resolver to the master repository
4. File System on Node A is NOT exported, and is unavailable to developers

What you'd expect (and what you can, in fact, do with maven 1 or 2) is that a developer would
publish to the cache while doign development for several reasons:

1. There is no version yet in the master repository
2. The developer is working on multiple modules, and needs to publish a module to
the cache so that another module can see those changes when it builds.

Seems like it should be an easy thing to do (though I don't know the ivy code well),
and would be very beneficial.

PS: I'm stuck on the development version, because 1.2a doesn't even let you use
the cache directory as the base of a resolver.

I'm willing to volunteer to do this, if someone points me in the right direction.
"
Ivy,IVY-135,Duplicate dependencies drastically slows down resolve,Bug,Closed,Major,Fixed,Xavier Hanin,Matt Inger,Matt Inger,1/17/2006 15:02,,8/28/2006 18:31,11/26/2006 7:03,1.3-RC1,1.4-RC1,Core,17-Nov-06,0,0,,,,,,,,,"It seems that if i have duplicates of the same dependency, the resolve task drastically slows down.
I'm seeing anywhere from a 1 - 10x slowdown.

Basically, I have:

Module A
depends on jar X

Module B
depends on jar X
depends on Module A


If i take out the B dependency on X, then the speed dramatically increases.
I'll work on an isolated test case, but it seems to me that duplicate dependencies shouldn't slow down
the system like that.
"
Ivy,IVY-138,Improve artifact d/l time,Improvement,Closed,Minor,Fixed,Xavier Hanin,Bernard Niset,Bernard Niset,1/18/2006 9:06,,1/22/2006 18:35,11/26/2006 7:03,1.2,1.3-RC1,Core,17-Nov-06,0,0,,,,,,,,N/A,"I found that ivy download time was very long especially when downloading from maven. While investigating that, I noticed for each artifact download was done 3 times. I could see that by checking the logs from the download done from my thanks to the facts that some artifacts are downloaded from one of my servers. See the following logs to illustrate this:

81.188.70.167 - - [17/Jan/2006:13:04:23 -0500] ""GET /ivy-repository/jetty/org.mortbay.jetty-5.1.8.jar HTTP/1.1"" 200 676610 ""-"" ""Java/1.5.0_06""
81.188.70.167 - - [17/Jan/2006:13:04:23 -0500] ""GET /ivy-repository/jetty/org.mortbay.jetty-5.1.8.jar HTTP/1.1"" 200 676610 ""-"" ""Java/1.5.0_06""
81.188.70.167 - - [17/Jan/2006:13:04:23 -0500] ""GET /ivy-repository/jetty/org.mortbay.jetty-5.1.8.jar HTTP/1.1"" 200 676610 ""-"" ""Java/1.5.0_06""

I then investigated the ivy sources (v 1.2a) to find out that this is due to the way BasicURLHandler is implemented. Indeed, each artifact is downloaded using 3 different requests:
* to check the artifact is existing
* to find the artifact size
* to do the actual download.

Not very efficient is it?

Using commons-http-client improves a little bit by reducing the requests to 1 HEAD and 2 GETs.

I've verified that using commons-http-client and a little bit refactoring, it can be reduced to something more ideal: 1 HEAD, 1 GET.

The problem comes from the way the URLHandler.isReachable is used by the URLResource class. When an artifact exists it uses URLConnection just to obtain its size. I modified isReachable to return the size of the artifact. The implementation of the HEAD method in commons-http-client can obtain the size without doing a real download.
Now I have a more efficient usage of the server, this is shown in the following log:

81.188.70.167 - - [17/Jan/2006:14:13:53 -0500] ""HEAD /ivy-repository/hessian/hessian-3.0.13.jar HTTP/1.1"" 200 - ""-"" ""Jakarta Commons-HttpClient/3.0""
81.188.70.167 - - [17/Jan/2006:14:13:54 -0500] ""GET /ivy-repository/hessian/hessian-3.0.13.jar HTTP/1.1"" 200 187171 ""-"" ""Jakarta Commons-HttpClient/3.0""

I will post a patch to this issue.
"
Ivy,IVY-139,possibility to configure ivy so that special revisions are not queried as fixed one at all,Improvement,Closed,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,1/18/2006 14:55,,1/23/2006 15:27,11/26/2006 7:03,,1.3-RC1,,17-Nov-06,0,0,,,,,,,,,"For the moment when ivy tries to solve a revision, it first attempts with the revision as if it is a fixed one, and then if this fails check if it's a dynamic one and try to resolve it.

Users using a lot of dynamic revisions suffer from this behaviour.

Having the possibility to configure ivy so that this check is not done would be a good performance improvement in this case."
Ivy,IVY-141,install modules found in one resolver into another resolver,New Feature,Closed,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,1/19/2006 12:08,,1/23/2006 20:07,11/26/2006 7:04,,1.3-RC1,,17-Nov-06,0,0,,,,,,,,,"Some people only use private repositories to avoid public repositories problems (latency, maintenance, accuracy, ...). The problem is that maintaining such private repositories can be quite time consuming.

The purpose of this feature request is to allow users to define an access to a public resolver, which is only used to download modules in a private repository. Then the modules in the private repository can be checked to see if they meet the private repository constraints, but the initial download is much easier."
Ivy,IVY-161,"possibility to select the matcher to use when including/excluding artifacts, or defining conflict manager rules",Improvement,Closed,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,1/31/2006 17:47,,2/15/2006 10:18,11/26/2006 7:04,,1.3-RC2,,17-Nov-06,0,0,,,,,,,,,"In ivy file one can use patterns to include or exclude artifacts, and to define conflict manager rules. The problem is that the pattern is always considered as being either an exact pattern or a regexp (two are tested). This causes some problems:
- impossible to convert the rules from one namespace to another one (a regexp is not convertible), whereas it's often only an exat pattern which is used
- regexp are used even if not necessary, which can cause performance issue
- regexp are quite difficult to write for some people, having a pluggable matcher concept would greatly help, especially if a more simple matcher was part of ivy distribution"
Ivy,IVY-187,ivy resolve slowdown,Improvement,Closed,Major,Fixed,Xavier Hanin,Karl Baum,Karl Baum,3/7/2006 10:24,,8/28/2006 12:07,11/26/2006 7:04,1.3-RC2,1.4-RC1,,17-Nov-06,0,0,,,,,,,,all,"I've noticed a slowdown in the resolve task since I've upgraded to ivy 1.3 and used some of ivy's new features. 

Please see: http://www.jayasoft.org/node/513

thx

-karl"
Ivy,IVY-211,Use file-system repository directly without cache,Improvement,Closed,Major,Fixed,Xavier Hanin,easyproglife,easyproglife,4/8/2006 18:01,,9/17/2006 18:13,11/26/2006 7:04,1.3.1,1.4-RC1,"Ant, Core",17-Nov-06,0,0,,,,,,,,N/A,"Currently, all dependencies from all repositories are downloaded into cache first. Only then they are copied to lib directory or referenced by the ""cachepath"" or ""cachefilset"" Ant tasks.

I thought it would be better to refer file-system's artifacts directly without first copying them into cache. It saves disk space and copy time. It also doing maintainance easier, since all artifacts are managed in a network shared directory. No per-user additional unnecessary cache need to be used and maintained.

The alternative is to use a shared network cache to be shared among all users, but I am not sure this is a good design. Anyway, keeping it all simple is a well-known and proven design :-) so how about making it simple by not using a cache for file system repositories?"
Ivy,IVY-247,report Ant-task doesn't process the reports in batch,Improvement,Closed,Major,Fixed,Maarten Coene,Maarten Coene,Maarten Coene,5/15/2006 11:54,,8/28/2006 14:26,11/26/2006 7:04,1.3.1,1.4-RC1,Ant,17-Nov-06,0,0,,,,,,,,,"When you generate for instance a html report (or a graphml report), a new XSLT processor is created for every file-transformation. If you have a lot of configurations, this means a lot of unnecessary creations of XSLT processors.

I'll upload a patch (which also fixes issue IVY-246)"
Ivy,IVY-262,"Maven2 POM support can find groupId from ""parent"" element",Bug,Closed,Major,Fixed,Xavier Hanin,Colin Sampaleanu,Colin Sampaleanu,7/1/2006 17:25,,9/4/2006 8:38,11/26/2006 7:05,1.3.1,1.4-RC1,,17-Nov-06,0,0,,,,,,,,,"I've been trying to use Maven2 format repositories out there, and finding that Ivy breaks when it encounters POMs like this one:
http://mirrors.dotsrc.org/maven2/org/apache/directory/server/apacheds-core/1.0-RC3/apacheds-core-1.0-RC3.pom

which have a <parent> element specifying the groupId, but there is no groupId, but no main groupId element. This would seem to be legal, since I've encountered a number of them.

This is pretty nasty as it basically breaks the build, and there appears to be no way to get around it except possibly to put the files in some other repo without the POM.

This also points out that it should be possibly to use a repo in M2 format without automatically pickingup POM files. The M2 format is somewhat attractive as it is more hierarchical, and perhaps mroe efficient, but more important there are lots of files out there now in repos in that format (primarilly the ibiblio one), but that doesn't necessarilly imply that the user of those files wants to automatically pick up the info from the POMs."
Ivy,IVY-273,SSH Resolver added and aligned with SFTP resolver,New Feature,Closed,Major,Fixed,Xavier Hanin,Andreas Sahlbach,Andreas Sahlbach,8/19/2006 15:04,,9/10/2006 13:52,11/26/2006 7:05,1.4-RC1,1.4-RC1,Core,17-Nov-06,0,0,,,,,,,,,"Here are my changes to the existing code to add SSH support and align with the existing SFTP support. The files are based on svn revision 463.

I've added several abstract base classes for ssh connection handling. I added SshCache support for SFTP and added support for handling URLs inside the patterns (as addition to normal paths). 

Oh yeah, and I've also made a small fix in the SFTP repository to honor the overwrite flag (which was totally ignored before). Hope that was ok.

I've also added support for public key files. They can only be set via attributes and not via url, but that should be ok, because the keyfiles are not host specific and the same key can be used on several hosts. I've also included your prompting mechanism, so also normal passwords can be used pretty conveniently (very nice work btw.). Passwords of key files will be prompted, too, btw. 

I've only included javadoc (especially in the resolvers) for documentation, hope this is enough. I would tell the user to choose sftp over ssh, because as a connection oriented protocol it is faster. If sftp is not available or does not work, the fallback should be ssh (which is based on using scp btw.). 

Ok, looking forward for the next version so I can use it. :-) 

And thanks for Ivy in general! Great work!"
Ivy,IVY-274,and documentation for all,Improvement,Closed,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,8/21/2006 12:10,,10/6/2006 15:19,11/26/2006 7:05,,1.4-RC1,,17-Nov-06,0,0,,,,,,,,,"Ivy documentation suffers from several points which may slow down ivy adoption:
- the offline is very poor, only a single html page with links only to the online version
- the web site serving the documentation is slow
- updates can only be done online with appropriate privileges, which prevent some people to contribute more
- since the best (the least worse) documentation is online, update with latest feature are only done just before the release, to avoid users to get lost with features not yet released

The objectives of this improvement are thus:
- to deliver an offline documentation almost as good as the online one (but without comments)
- allow people to contribute to documentation through patches to an xml version of the doc
- investigate a way to improve web site performances
- investigate a way to host several versions of the documentation online"
Ivy,IVY-285,add failureproperty parameter to the resolve task,Improvement,Closed,Minor,Fixed,Xavier Hanin,Gilles Scokart,Gilles Scokart,9/1/2006 18:20,,10/6/2006 15:19,11/26/2006 7:05,1.3.1,1.4-RC1,Ant,17-Nov-06,0,0,,,,,,,,,"When haltonfailure is set to false and there is an ivy failure, the resolve task should set a property with the name given as a parameter failureproperty. (similar to the junit task behavior).


This would allow to trigger some specific ant scripts when some dependency are missing.

For a concrete example of applicability, I have a big project with a lot of submodules. I want to speed up the build by retrieving all the external dependencies once (when the build is launched at the root level), and then switch in an offline mode to only use the cache and the locally build module.
To do that, I have an ivy file at the root level containing each submodule as dependency. When performing an 'online"" resolve, the ivy files of the submodules are taken from our continuous build repository, and the external ivy/jar dependant of this sub-module are also placed in the cache.

That works correctly, except if the continuous repository is empty (or down). In that case, I should not switch to an offline mode."
Ivy,IVY-353,ivy:retrieve should be able to create symlinks,Wish,Resolved,Major,Fixed,Gilles Scokart,John Williams,John Williams,12/12/2006 3:38,,8/30/2007 20:45,6/8/2007 11:16,1.4.1,2.0.0-alpha-2,Core,,0,1,,,,,,,,Linux,"It would be helpful if the ""retrieve"" task had an option to create symlinks on systems that support them. The symlinks could point to either the cache or a local repository (is useOrigin=true).

My company has a very long number of small projects, many of which depend on some fairly large artifacts, so copying everything would be too slow and use up too much disk space to be practical. (We work around this now by using the ""cachepath"" task for instead of retrieve.)"
Ivy,IVY-354,add option to cache results of ivy:resolve,Wish,Open,Major,Unresolved,Unassigned,John Williams,John Williams,12/12/2006 3:50,,2/1/2007 15:55,,1.4.1,,Core,,1,0,,,,,,,,all,"Using ivy:cachepath is a nice alternative to ivy:retrieve, but doing a resolve on every build is too slow. If there were some way to cache the result of resolving it would make cachepath much more pleasant to use.

I've been experimenting with a poor man's version of this by saving the classpaths in a properties file to avoid needing to use Ivy so much, but this solution seems clumsy because it requires many steps."
