Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description
Avro,AVRO-6,Better support for using customized in memory types with Avro GenericDatumReader and GenericDatumWriter,Improvement,Closed,Major,Fixed,Hong Tang,Hong Tang,Hong Tang,4/11/2009 17:32,,7/14/2009 22:50,4/14/2009 21:43,1.0.0,1.0.0,java,,0,0,,,,,,,AVRO-11,,"Currently Avro's GenericDatumReader/Writer requires Record, Array, and Map be subclasses of GenericRecord, GenericArray, and Map. Additionally, STRING and BYTES are mapped to Utf8 and ByteBuffer. Finally, Record fields are accessed through field names, this may be less efficient if a user-defined record class supports field access by positions (such as PIG Tuples). 

I suggest we improve the interface to (1) have more flexibility to use user-types with Avro; (2) support access to RECORDs by either field names or field positions."
Avro,AVRO-10,add fixed-size type,Improvement,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/13/2009 20:42,,7/14/2009 22:50,5/22/2009 17:48,,1.0.0,spec,,0,0,,,,,,,,,"Avro should support an opaque binary type whose size in bytes is specified in the schema. This would permit, e.g., single-byte values, short values, and efficient representations for checksums pseudo-random values such as MD5 and SHA, dates, etc."
Avro,AVRO-11,Improve SpecificDatumReader code by using field positions.,Improvement,Closed,Minor,Fixed,Doug Cutting,Hong Tang,Hong Tang,4/14/2009 4:21,,7/14/2009 22:50,4/14/2009 22:29,1.0.0,1.0.0,java,,0,0,,,,,,,AVRO-6,,"With Avro-6, it would be more efficient to reimplement SpecificDatumReader to use field positions from schema."
Avro,AVRO-13,Use dictionary instead of if-else in validate,Improvement,Closed,Major,Fixed,Sharad Agarwal,Sharad Agarwal,Sharad Agarwal,4/14/2009 7:28,,7/14/2009 22:50,4/15/2009 5:19,1.0.0,1.0.0,python,,0,0,,,,,,,,,Currently validate in generic.py and reflect.py uses if-else. It would be efficient to use dictionary with keys as schema types.
Avro,AVRO-24,benchmark bulk data,Task,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/27/2009 20:02,,10/14/2009 18:53,9/30/2009 21:32,,1.2.0,java,,0,6,,,,,,,,,"It would be good to validate that the RPC wire format is capable of transmitting bulk data efficiently. In particular, to be used for HDFS file access, it must be able to, when including file data in an RPC response, or writing file data in an RPC request: 
- saturate a disk's throughput or a network interface; and 
- not consume much CPU. 
In other words, Avro's RPC should not be a bottleneck in the transfer of file data from a remote disk to an application or vice versa, and moreover it should leave the vast majority of the CPU for the application."
Avro,AVRO-25,Blocking for value output (with API change),Improvement,Closed,Major,Fixed,Thiruvalluvan M. G.,Raymie Stata,Raymie Stata,4/29/2009 18:34,,7/14/2009 22:50,6/5/2009 18:32,,1.0.0,java,,0,0,,,,,,,,,"The Avro specification has provisions for decomposing very large arrays and maps into ""blocks."" These provisions allow for streaming implementations that would allow one to, for example, write the contents of a file out as an Avro array w/out knowing in advance how many records are in the file. 

The current Java implementation of Avro does support this provision. My colleague Thiru will be attaching a patch which implements blocking. It turns out that the buffering required to do blocking is non-trivial, so it seem beneficial to include a standard implementation of blocking as part of the reference Avro implementation. 

This is an early version of the code. We are still working on testing and performance tuning. But we wanted early feedback. 

This patch also includes a new set of classes called ValueInput and ValueOutput, which are meant to replace ValueReader and ValueWriter. These classes have largely the same API as ValueReader/Writer, but they include a few more methods to ""bracket"" items that appear inside of arrays and maps. Shortly, we'll be posting a separate patch which implements further subclasses of ValueInput/Output that do ""validation"" of input and output against a schema (and also do automatic schema resolution for readers). 

We're implementing these classes separate from ValueInput/Output to allow you to kick our tires w/out causing too much disruption to your source trees. Let's validate the basic idea behind these patches first, and then determine the details of integrating them into the rest of Avro."
Avro,AVRO-26,Converting JUnit tests into TestNG controlled environment,Test,Closed,Major,Fixed,Konstantin Boudnik,Konstantin Boudnik,Konstantin Boudnik,5/1/2009 18:49,,7/22/2009 20:09,5/18/2009 18:37,,1.0.0,"java, python",,0,2,,,,,,,AVRO-81,,"TestNG is a powerful test harness, which provides a lot of useful features like parallel test execution, test parametrization, and such. 
Avro uses JUnit environment instead which is more rigid and less efficient. 

I'd suggest to convert Avro's Junit based test infrastructure into TestNG controller environment, which will allow to achieve higher level of test execution control in the long run"
Avro,AVRO-27,Consistent Overhead Byte Stuffing (COBS) encoded block format for Object Container Files,New Feature,Closed,Major,Later,Unassigned,Matt Massie,Matt Massie,5/6/2009 20:11,,7/14/2009 23:04,6/23/2009 20:02,,,spec,,0,2,,,,,,,,,"Object Container Files could use a 1 byte sync marker (set to zero) using zig-zag and COBS encoding within blocks to efficiently escape zeros from the record data. 

h4. Zig-Zag encoding 

With zig-zag encoding only the value of 0 (zero) gets encoded into a value with a single zero byte. This property means that we can write any non-zero zig-zag long inside a block within concern for creating an unintentional sync byte. 

h4. COBS encoding 

We'll use COBS encoding to ensure that all zeros are escaped inside the block payload. You can read http://www.sigcomm.org/sigcomm97/papers/p062.pdf for the details about COBS encoding. 

h1. Block Format 

All blocks start and end with a sync byte (set to zero) with a type-length-value format internally as follows: 

|| name || format || length in bytes || value || meaning || 
| sync | byte | 1 | always 0 (zero) | The sync byte serves as a clear marker for the start of a block | 
| type | zig-zag long | variable | must be non-zero | The type field expresses whether the block is for _metadata_ or _normal_ data. | 
| length | zig-zag long | variable | must be non-zero | The length field expresses the number of bytes until the next record (including the cobs code and sync byte). Useful for skipping ahead to the next block. | 
| cobs_code | byte | 1 | see COBS code table below | Used in escaping zeros from the block payload | 
| payload | cobs-encoded | Greater than or equal to zero | all non-zero bytes | The payload of the block | 
| sync | byte | 1 | always 0 (zero) | The sync byte serves as a clear marker for the end of the block | 

h2. COBS code table 

|| Code || Followed by || Meaning | 
| 0x00 | (not applicable) | (not allowed ) | 
| 0x01 | nothing | Empty payload followed by the closing sync byte | 
| 0x02 | one data byte | The single data byte, followed by the closing sync byte | 
| 0x03 | two data bytes | The pair of data bytes, followed by the closing sync byte | 
| 0x04 | three data bytes | The three data bytes, followed by the closing sync byte | 
| n | (n-1) data bytes | The (n-1) data bytes, followed by the closing sync byte | 
| 0xFD | 252 data bytes | The 252 data bytes, followed by the closing sync byte | 
| 0xFE | 253 data bytes | The 253 data bytes, followed by the closing sync byte | 
| 0xFF | 254 data bytes | The 254 data bytes *not* followed by a zero. | 
(taken from http://www.sigcomm.org/sigcomm97/papers/p062.pdf) 

h1. Encoding 

Only the block writer needs to perform byte-by-byte processing to encode the block. The overhead for COBS encoding is very small in terms of the in-memory state required. 

h1. Decoding 

Block readers are not required to do as much byte-by-byte processing as a writer. The reader could (for example) find a _metadata_ block by doing the following: 

# Search for a zero byte in the file which marks the start of a record 
# Read and zig-zag decode the _type_ of the block 
#* If the block is _normal_ data, read the _length_, seek ahead to the next block and goto step #2 again 
#* If the block is a _metadata_ block, cobs decode the data"
Avro,AVRO-47,Byte sequence to be represented as void*,Bug,Closed,Major,Fixed,Scott Banachowski,Arvind Jayaprakash,Arvind Jayaprakash,6/5/2009 20:21,,3/1/2010 17:10,1/22/2010 22:42,,1.3.0,c++,,0,2,,,,,,,,,"The current function prototype for serializin bytes is as follows: 
void putBytes(const uint8_t *val, size_t size) 

This is better written as 
void putBytes(const void *val, size_t size) 

Using void* in favour of an int based data type frees us from unnecessary casting opaque bytes from arbitrary stuctures/classes into ""integer"". This is consistent with say a function like memcpy()"
Avro,AVRO-48,There are a large number of unused imports and unnecessary @SuppressWarning annotations,Task,Closed,Minor,Fixed,Thiruvalluvan M. G.,Thiruvalluvan M. G.,Thiruvalluvan M. G.,6/6/2009 4:13,,7/14/2009 22:50,6/8/2009 21:54,1.0.0,1.0.0,java,,0,0,,,,,,,,,There are in all about 90 instances of unused imports and unnecessary @SuppressWarning annotations.
